GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ESA001
"G11000100001308","1990","DC","99","9999","9999","9999","99","9","308","3","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000031","0000000000","Block 308","S","+38902900","-077059616",,34
"G11000100001309","1990","DC","99","9999","9999","9999","99","9","309","3","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 309","S","+38903950","-077059699",,3
"G11000100001310","1990","DC","99","9999","9999","9999","99","9","310","3","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000013","0000000000","Block 310","S","+38902850","-077058499",,91
"G11000100001312","1990","DC","99","9999","9999","9999","99","9","312","3","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000066","0000000000","Block 312","S","+38901233","-077060168",,34
"G11000100001401","1990","DC","99","9999","9999","9999","99","9","401","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000028","0000000000","Block 401","S","+38906082","-077062122",,55
"G11000100001402","1990","DC","99","9999","9999","9999","99","9","402","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000036","0000000000","Block 402","S","+38905600","-077060199",,46
"G11000100001403","1990","DC","99","9999","9999","9999","99","9","403","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 403","S","+38906900","-077058699",,41
"G11000100001404","1990","DC","99","9999","9999","9999","99","9","404","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000010","0000000000","Block 404","S","+38905150","-077058549",,37
"G11000100001405","1990","DC","99","9999","9999","9999","99","9","405","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000010","0000000000","Block 405","S","+38905200","-077057474",,29
"G11000100001406","1990","DC","99","9999","9999","9999","99","9","406","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000009","0000000000","Block 406","S","+38906050","-077057543",,30
"G11000100001407","1990","DC","99","9999","9999","9999","99","9","407","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 407","S","+38906950","-077057649",,28
"G11000100001408","1990","DC","99","9999","9999","9999","99","9","408","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000009","0000000000","Block 408","S","+38906050","-077058627",,34
"G11000100001409","1990","DC","99","9999","9999","9999","99","9","409","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000017","0000000000","Block 409","S","+38906900","-077060227",,52
"G11000100001410","1990","DC","99","9999","9999","9999","99","9","410","4","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000015","0000000000","Block 410","S","+38906800","-077062245",,39
"G11000100001501","1990","DC","99","9999","9999","9999","99","9","501","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000022","0000000000","Block 501","S","+38907700","-077062479",,41
"G11000100001502","1990","DC","99","9999","9999","9999","99","9","502","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000021","0000000000","Block 502","S","+38909800","-077060532",,76
"G11000100001503","1990","DC","99","9999","9999","9999","99","9","503","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000009","0000000000","Block 503","S","+38907700","-077058674",,35
"G11000100001504","1990","DC","99","9999","9999","9999","99","9","504","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000009","0000000000","Block 504","S","+38907700","-077057624",,24
"G11000100001505","1990","DC","99","9999","9999","9999","99","9","505","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 505","S","+38908650","-077057652",,24
"G11000100001506","1990","DC","99","9999","9999","9999","99","9","506","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 506","S","+38908600","-077058699",,27
"G11000100001507","1990","DC","99","9999","9999","9999","99","9","507","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000017","0000000000","Block 507","S","+38908650","-077060277",,62
"G11000100001508","1990","DC","99","9999","9999","9999","99","9","508","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000025","0000000000","Block 508","S","+38908600","-077062769",,38
"G11000100001509","1990","DC","99","9999","9999","9999","99","9","509","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 509","S","+38909867","-077064367",,27
"G11000100001510","1990","DC","99","9999","9999","9999","99","9","510","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000024","0000000000","Block 510","S","+38909650","-077062708",,43
"G11000100001511","1990","DC","99","9999","9999","9999","99","9","511","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000006","0000000000","Block 511","S","+38909350","-077059770",,30
"G11000100001512","1990","DC","99","9999","9999","9999","99","9","512","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 512","S","+38909600","-077058766",,88
"G11000100001513","1990","DC","99","9999","9999","9999","99","9","513","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 513","S","+38909600","-077057716",,17
"G11000100001514","1990","DC","99","9999","9999","9999","99","9","514","5","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000018","0000000000","Block 514","S","+38907700","-077060249",,47
"G1100010000201101","1990","DC","99","9999","9999","9999","99","9","101","1","000201","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000499","0000000000","Block 101","S","+38907859","-077074949",,16
"G1100010000202102","1990","DC","99","9999","9999","9999","99","9","102","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000038","0000000000","Block 102","S","+38914850","-077068799",,99
"G1100010000202103","1990","DC","99","9999","9999","9999","99","9","103","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000013","0000000000","Block 103","S","+38913833","-077067583",,28
"G1100010000202104","1990","DC","99","9999","9999","9999","99","9","104","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000013","0000000000","Block 104","S","+38913000","-077067346",,31
"G1100010000202105","1990","DC","99","9999","9999","9999","99","9","105","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 105","S","+38912950","-077068719",,39
"G1100010000202106","1990","DC","99","9999","9999","9999","99","9","106","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 106","S","+38912050","-077068680",,51
"G1100010000202107","1990","DC","99","9999","9999","9999","99","9","107","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000024","0000000000","Block 107","S","+38912078","-077071312",,138
"G1100010000202108","1990","DC","99","9999","9999","9999","99","9","108","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000016","0000000000","Block 108","S","+38912100","-077067135",,62
"G1100010000202109","1990","DC","99","9999","9999","9999","99","9","109","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000007","0000000000","Block 109","S","+38910800","-077065873",,16
"G1100010000202110","1990","DC","99","9999","9999","9999","99","9","110","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000016","0000000000","Block 110","S","+38911100","-077067099",,60
"G1100010000202111","1990","DC","99","9999","9999","9999","99","9","111","1","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000013","0000000000","Block 111","S","+38911050","-077068622",,47
"G1100010000202201","1990","DC","99","9999","9999","9999","99","9","201","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 201","S","+38909791","-077065525",,42
"G1100010000202202","1990","DC","99","9999","9999","9999","99","9","202","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000019","0000000000","Block 202","S","+38910000","-077067072",,15
"G1100010000202203","1990","DC","99","9999","9999","9999","99","9","203","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000014","0000000000","Block 203","S","+38910000","-077068604",,42
"G1100010000202204","1990","DC","99","9999","9999","9999","99","9","204","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000011","0000000000","Block 204","S","+38909000","-077068574",,32
"G1100010000202205","1990","DC","99","9999","9999","9999","99","9","205","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000016","0000000000","Block 205","S","+38909017","-077066699",,69
"G1100010000202206","1990","DC","99","9999","9999","9999","99","9","206","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000015","0000000000","Block 206","S","+38909000","-077065249",,54
"G1100010000202207","1990","DC","99","9999","9999","9999","99","9","207","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000021","0000000000","Block 207","S","+38907867","-077064962",,41
"G1100010000202208","1990","DC","99","9999","9999","9999","99","9","208","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000018","0000000000","Block 208","S","+38908050","-077067024",,55
"G1100010000202209","1990","DC","99","9999","9999","9999","99","9","209","2","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000013","0000000000","Block 209","S","+38908000","-077068549",,52
"G1100010000202301","1990","DC","99","9999","9999","9999","99","9","301","3","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000020","0000000000","Block 301","S","+38907000","-077064212",,65
"G1100010000202302","1990","DC","99","9999","9999","9999","99","9","302","3","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 302","S","+38907000","-077065626",,27
"G1100010000202303","1990","DC","99","9999","9999","9999","99","9","303","3","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 303","S","+38905950","-077065599",,34
"G1100010000202304","1990","DC","99","9999","9999","9999","99","9","304","3","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000019","0000000000","Block 304","S","+38905950","-077064024",,76
"G1100010000202305","1990","DC","99","9999","9999","9999","99","9","305","3","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000018","0000000000","Block 305","S","+38905050","-077063944",,15
"G1100010000202306","1990","DC","99","9999","9999","9999","99","9","306","3","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000006","0000000000","Block 306","S","+38905200","-077065549",,22
"G1100010000202401","1990","DC","99","9999","9999","9999","99","9","401","4","000202","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000028","0000000000","Block 401","S","+38904250","-077064360",,112
