id,height,centroid_lon,centroid_lat
e0d0d1b6-92e9-4fcc-8164-7f7d002647d5,4.955141544342041,-77.11936492184378,38.79227573214892
e70ceaf8-2ff1-4301-a867-fb3f417a8672,6.205423831939697,-77.11981947085933,38.792700270726534
58a7f5a4-33a7-41d6-8d9a-1e66887ffe1c,3.947740077972412,-77.1192655,38.792488
c193ce08-0ba7-41d5-97e0-1c65ad3a6172,3.0068414211273193,-77.11939410000001,38.79246445
19e16fe9-82c2-48aa-9b26-73532f77283b,7.121212005615234,-77.11868116749807,38.792655460923875
671858da-3431-4686-9704-b325375b7d8c,4.925736904144287,-77.11904370311734,38.79229726714448
c97ac243-7a3e-4ef2-bb1c-06dcd51a82fc,4.845978736877441,-77.1188245,38.792112
716ef192-2425-43af-9493-d126f832c5ca,4.841324806213379,-77.118602,38.7919775
37772adc-f690-417b-a6ed-053bcf710036,4.195066452026367,-77.11937800000001,38.791993500000004
699d06c0-591c-4972-95fb-e5dcf79fa945,3.96699857711792,-77.1192981382213,38.79175379475961
c3cb608b-1333-423c-9074-82f4389a9fe6,3.7580299377441406,-77.11932,38.791549999999994
812a6d9e-5f9c-4ea0-8061-0629de84d2bb,4.624134063720703,-77.11896534089027,38.791410075302885
03660ab4-5c18-4f19-8b4e-057458dc8037,4.203432083129883,-77.1186465,38.79103249999999
bec7044d-adb8-4dc7-a1f6-c04b8b530319,3.9620678424835205,-77.11915582969918,38.79084205501635
e0f61567-2fd9-41d9-aeeb-2a5228333bc7,4.153637886047363,-77.118876,38.790911
1f96830b-a23c-4d87-bb12-5a18f492b9b7,5.070598602294922,-77.1192425,38.791317500000005
89a03f9b-f61a-462e-82f4-f1ade79dbdfe,5.052771091461182,-77.119744,38.790321000000006
5346767a-a7a4-423f-8aaa-605c5d78eec1,3.3842246532440186,-77.11976144379612,38.79054125806898
6b84dfa9-a30d-4d54-b094-88503f33268d,4.72857141494751,-77.119104,38.790381999999994
f97bc658-9246-41d6-8f6a-9d76ff291d5b,3.713745355606079,-77.11916116403471,38.79059937140602
22895482-8c87-467f-b792-6698405168e3,3.0748751163482666,-77.11879162704895,38.79063150451187
a4c60c50-6f05-43d2-add2-79be0eda8c8d,3.694108009338379,-77.11856330034722,38.79046007291667
28e528c8-9dbe-4bcc-9bb1-2247c99d6f42,3.4656131267547607,-77.11882378225253,38.79040163903625
6883f2e8-5194-41f7-96e8-05c4aaca99b0,3.5574750900268555,-77.11809320448495,38.790099915043115
22d1409c-4745-4b56-ba4f-c60d3733a806,3.0468976497650146,-77.11832443997547,38.79054796333
741dbaae-be32-412c-9aff-4888b437c957,3.5456559658050537,-77.11766754573368,38.79042832138281
039f9f98-0817-4aa6-9af5-afcdf89e426d,2.6797056198120117,-77.11754677070905,38.79065109448726
c7d2a79c-5640-47b8-b2f1-38b2f29a62df,3.969437599182129,-77.1178475,38.790247
d4e20bb7-2788-4a26-b824-7c60b49a95f3,4.9396281242370605,-77.11703649999998,38.790183
47fa4681-e83e-4509-a30f-f1b588aac7b2,5.853672027587891,-77.11650800000001,38.79027100000001
ca330434-fd51-4d8a-80f1-ac69258a8f94,5.78169584274292,-77.11611920050822,38.79034159402335
88da2675-8486-46fe-a520-dbbfba3c1804,5.004446983337402,-77.11702700000001,38.790464
2006acfc-b35a-489f-bc68-771e80b6eb9a,4.076626777648926,-77.1170405,38.790889
937ddd51-fd27-47d8-a4d2-208fd228bc69,4.599611282348633,-77.11615249999998,38.7907885
27cf8788-0b32-497a-ac4a-5071dc264596,4.20748233795166,-77.11647284824905,38.79087720817121
71fadb9d-c7ef-4d3d-b835-4f966ae4680c,4.681440353393555,-77.11614074268621,38.79102617847145
a8e6d020-992a-430f-b6d1-40685546b647,4.935370445251465,-77.11613480716785,38.79130912778526
272f4e6c-804e-4f07-afa4-ff81fc9439d0,4.375291347503662,-77.11647549999999,38.791292
481512be-6d7e-49fc-a4c3-fc1048e0023a,4.366909027099609,-77.11704199999998,38.791238
088d03f2-1993-4c1d-8ebe-68d5a982345f,3.6604578495025635,-77.117424,38.791332000000004
0d7463e8-b10e-4581-8a59-e550bee5f612,3.752002000808716,-77.11741183091532,38.791101255661715
0311fc38-52e6-4899-9f71-57440904c6dc,2.8136191368103027,-77.117451,38.7908785
25b2f3c4-00cb-45ba-9bac-2629ccdeffd9,4.376587390899658,-77.11807423115242,38.79091799903167
0fccbe66-151d-43cb-9d63-d6ae484d988d,3.1269021034240723,-77.11817624701754,38.79072065333333
12a31896-75e4-46d3-93cf-75a2a4112c57,6.124230861663818,-77.11837266628606,38.79111067392807
0d042eba-74a8-4d1a-84ef-3d6fcf30c438,2.780242681503296,-77.11803850000001,38.791139
32718a39-49c9-4893-b86a-e08ba145f499,6.030844211578369,-77.11838077605827,38.791601539068424
665f0c75-b707-44c6-ad14-f530896f1e49,4.610473155975342,-77.11802399999998,38.79161249999999
d76813ea-ea37-4fa4-8001-34161a259be5,3.4830996990203857,-77.11743200000001,38.791571999999995
d8549a74-cb0f-4e2c-ad6a-36705faf1035,1.033730149269104,-77.11724397435556,38.791546343521645
f3bcb031-d0c7-4cec-96ce-2d4ca40ae3af,3.216374158859253,-77.11739370949991,38.79180025340307
87621f86-c600-42fb-879f-6da597374eea,4.584985256195068,-77.11801006919711,38.791859361653536
ab94dfb4-744d-44dd-9aae-d5846a23183c,3.6859054565429688,-77.11831748630516,38.79191958308274
af46faeb-9ceb-488c-9707-acff0edba794,3.7472171783447266,-77.11799082515523,38.79233930024231
610e4974-952f-47cf-8ca2-2eb090082c59,3.5082335472106934,-77.11825108202005,38.7923769052009
5fce9c2f-9e28-48b5-bdf2-5313e86db717,3.6951286792755127,-77.11847894370015,38.79249603796289
2d62c6f7-121c-4a20-92d7-61b7dd21625f,4.0731706619262695,-77.11793227758815,38.79263192605233
1734356f-613d-48b3-aaaf-723706413081,4.22885799407959,-77.11735032619058,38.79256806349269
12542e10-febc-4350-9afa-6d993ca5a3be,3.7367022037506104,-77.11736316037351,38.79230097117337
cd8841b7-3882-4e42-8513-7c219fc796db,4.442477703094482,-77.11700531466902,38.79231051822689
464402e0-2e95-45c4-8ccd-4f28cbfa0785,4.033573150634766,-77.1165465,38.79255800000001
bd886dcf-2123-4c9f-90d2-72615bbf1e1b,4.576458930969238,-77.11678440993869,38.79242643041797
1d5a1558-bedb-42e3-b422-412edd4c009f,4.423210620880127,-77.11631299999999,38.7926985
4535ed38-d410-4fe3-a79a-6d3aa33d2dea,3.911881923675537,-77.11615800000001,38.7922065
2f88bffd-1565-40ed-a16e-1f636ae1400b,6.659392833709717,-77.11638049999999,38.7920885
5b5d620b-9edf-4f5f-a78d-547d620cc6c3,4.215285301208496,-77.116107,38.791968499999996
f20fc37f-62a8-4225-a1fa-0feb41362cb0,4.132575988769531,-77.11647450000001,38.7919695
864f63a8-a5be-4398-8d95-653f6ba44cd6,4.1185736656188965,-77.11702224677994,38.79181534532586
7b73acec-35f3-4bc9-b720-9e7501a64d07,3.885310173034668,-77.1170455,38.791539
46fbed60-6c59-4517-b229-28602e77eebb,2.673889398574829,-77.11644600000001,38.791405
