blk2000gj,blk2000ge,blk2010gj,blk2010ge,parea,weight
G11000100001005011,110010001005011,G11000100001003007,110010001003007,1,1
G11000100001005012,110010001005012,G11000100001003008,110010001003008,1,1
G11000100001005013,110010001005013,G11000100001003009,110010001003009,1,1
G11000100002011000,110010002011000,G11000100002011000,110010002011000,0.1997460114,0.0516662751
G11000100002011000,110010002011000,G11000100002011001,110010002011001,0.6764244006,0.9476097566
G11000100002011000,110010002011000,G11000100002011002,110010002011002,0.123829588,0.0007239683
G11000100002021000,110010002021000,G11000100002021000,110010002021000,1,1
G11000100002021001,110010002021001,G11000100002021001,110010002021001,1,1
G11000100002021002,110010002021002,G11000100002021002,110010002021002,1,1
G11000100002021003,110010002021003,G11000100002021003,110010002021003,1,1
G11000100002021004,110010002021004,G11000100002021004,110010002021004,1,1
G11000100002021005,110010002021005,G11000100002021005,110010002021005,1,1
G11000100002021006,110010002021006,G11000100002021006,110010002021006,1,1
G11000100002021007,110010002021007,G11000100002021007,110010002021007,1,1
G11000100002021008,110010002021008,G11000100002021008,110010002021008,1,1
G11000100002021009,110010002021009,G11000100002021009,110010002021009,1,1
G11000100002021010,110010002021010,G11000100002021011,110010002021011,1,1
G11000100002021011,110010002021011,G11000100002021010,110010002021010,1,1
G11000100002022000,110010002022000,G11000100002022000,110010002022000,1,1
G11000100002022001,110010002022001,G11000100002022001,110010002022001,1,1
G11000100002022002,110010002022002,G11000100002022002,110010002022002,1,1
G11000100002022003,110010002022003,G11000100002022003,110010002022003,1,1
G11000100002022004,110010002022004,G11000100002022004,110010002022004,1,1
G11000100002022005,110010002022005,G11000100002022005,110010002022005,1,1
G11000100002022006,110010002022006,G11000100002022006,110010002022006,1,1
G11000100002022007,110010002022007,G11000100002022007,110010002022007,1,1
G11000100002022008,110010002022008,G11000100002022008,110010002022008,1,1
G11000100002023000,110010002023000,G11000100002023000,110010002023000,1,1
G11000100002023001,110010002023001,G11000100002023001,110010002023001,1,1
G11000100002023002,110010002023002,G11000100002023002,110010002023002,1,1
G11000100002023003,110010002023003,G11000100002023003,110010002023003,1,1
G11000100002023004,110010002023004,G11000100002023004,110010002023004,1,1
G11000100002023005,110010002023005,G11000100002023005,110010002023005,1,1
G11000100002023006,110010002023006,G11000100002023006,110010002023006,1,1
G11000100002023007,110010002023007,G11000100002023007,110010002023007,1,1
G11000100002023008,110010002023008,G11000100002023008,110010002023008,1,1
G11000100002023009,110010002023009,G11000100002023009,110010002023009,0.3834385965,0.2831858407
G11000100002023009,110010002023009,G11000100002023010,110010002023010,0.6165614035,0.7168141593
G11000100002023010,110010002023010,G11000100002023011,110010002023011,1,1
G11000100002023011,110010002023011,G11000100002023012,110010002023012,1,1
G11000100002023012,110010002023012,G11000100002023013,110010002023013,1,1
G11000100002024000,110010002024000,G11000100002024024,110010002024024,0,0
G11000100002024000,110010002024000,G11000100002024026,110010002024026,1,1
G11000100002024001,110010002024001,G11000100002024024,110010002024024,0,0
G11000100002024001,110010002024001,G11000100002024026,110010002024026,0.4160227438,0.3123041043
G11000100002024001,110010002024001,G11000100002024031,110010002024031,0.5839772562,0.6876958957
G11000100002024002,110010002024002,G11000100002024024,110010002024024,0,0
G11000100002024002,110010002024002,G11000100002024025,110010002024025,1,1
