X,Y,OBJECTID,PID,SSL,PMPROPERTYID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,METEREDAREAS_ENERGY,METEREDAREAS_WATER,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LATITUDE,LONGITUDE,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,LASTUPDATE,UBID,REPORTINGYEAR,ENFORCEMENT_ACTION,VERIFIER_NAME,VERIFIER_ORGANIZATION
-8576169.4829,4707953.4058,5434959,PM1257640,0161 0037,1257640,Bender Building,,,In Compliance,1120 CONNECTICUT AVENUE NW,JACK I BENDER & SONS INC,2,1120 Connecticut Ave. NW,WASHINGTON,DC,20036,1959,Office,Office,403277,369441,83,44.1,44.4,111.6,111.8,1381.2,3.7,,2797.1,3483.3,2140473.3,Whole Property,,0,0,0,0,4049852.4,29582.1,28867.5,34391.3,28822.4,29773.1,26023.9,25947.3,25381,23844.7,28559.4,34299.2,32839.9,1404962.5,1327330.3,1212212.1,1135580.5,1074521.8,1075994.2,1200216.5,1231814.9,1114596.7,967440.5,942982.4,1130445.7,38.90415786,-77.04103896,241785,396440.329618923,137367.657577221,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2022,,,
-8576163.102,4707920.1744,5434960,PM1257640,0161 0037,1257640,Bender Building,,,In Compliance,1120 CONNECTICUT AVE NW,JACK I BENDER & SONS INC,2,1120 Connecticut Ave. NW,WASHINGTON,DC,20036,1959,Office,Office,403277,369441,,33.7,35.4,83.6,85.3,1076.9,2.9,,2071.2,3489.9,1889335.7,Whole Property,,0,0,0,0,2994398.4,32698.4,29505.6,31574.2,28699.8,28138,24721.6,24236.9,24257.1,24483.2,29114.1,30723.4,40839.3,1204398.9,992910.1,971726.2,824083.8,774405.7,756052.2,882537.7,895374.9,734585.4,650717.9,678511.6,851584.3,38.90392555,-77.04098164,241785,396445.289909943,137341.867055347,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2023,,Shai Shaul,Sustainable Investment Group
-8576169.4829,4707953.4058,5434961,PM1257640,0161 0037,1257640,Bender Building,,,In Compliance,1120 CONNECTICUT AVENUE NW,JACK I BENDER & SONS INC,2,1120 Connecticut Ave. NW,WASHINGTON,DC,20036,1959,Office,Office,403277,369441,,32.2,33.1,78.5,79.4,1004.47,2.72,,1937.2,3564.5,2068758,Whole Property,,0,0,0,0,2778522.3,48354,31291.7,29015.7,24659.9,28665.6,26446.3,21604.3,14734.4,17290.2,25258.4,38080.8,51050.3,944880.2,756091,754584.9,681735.2,705742.5,762777.9,908691,803811.2,671120.1,682816.5,723932,1084135.8,38.90415786,-77.04103896,241785,396440.329618923,137367.657577221,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2024,,Shai Shaul,Sustainable Investment Group
-8576199.5871,4707990.7362,5434962,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST,JACK I BENDER & SONS INC,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,75234,36,111.4,111.4,342.8,342.8,1043,13.9,,1840.4,2555.484,0,Whole Building,,0,0,0,0,2382285.9060936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9044188243,-77.0413093906,278853,396416.885900042,137396.637302361,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2013,,,
-8576199.5871,4707990.7362,5434963,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST,JACK I BENDER & SONS INC,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,75234,37,111.8,111.7,342.5,342.2,1101.1,14.6,,3354,3097.539108,0,Whole Building,,0,0,0,0,2374777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9044188243,-77.0413093906,278853,396416.885898039,137396.637305361,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2014,,,
-8576202.2508,4707994.6232,5434964,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS INC,2,1111 18th Street NW,Washington,DC,20223,1965,Office,Office,110099,75234,36,112.1,112.2,344,344.1,1105.8,14.7,,1757.4,2848.0504,0,Whole Building,,0,0,0,0,2387943.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9044459964,-77.0413333199,278853,396414.81168099,137399.654571441,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2015,,,
-8576202.2508,4707994.6232,5434965,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,75234,37,111.4,111.6,342.4,342.6,944.6,12.6,,1719.7,2653.168605,0,Whole Building,,0,0,0,0,2378060.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9044459964,-77.0413333199,278853,396414.81168099,137399.654571441,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2016,,,
-8576202.2508,4707994.6232,5434966,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,75234,50,95.6,95.9,295.2,295.5,787.6,10.5,,1489.6,1774.2799715,0,Whole Building,,0,0,0,0,2055853.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9044459964,-77.0413333199,278853,396414.81168099,137399.654571441,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2017,,,
-8576201.996,4707993.5566,5434967,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,79905,49,94.1,94.1,259.7,259.7,712.3,8.9,,1366.7,1773.7,0,Whole Property,,0,0,0,0,2152431.2,44551.7,24438.9,17930.8,13007.9,4389.7,6662.9,5187.1,3729.6,5241.4,8155.2,16602.9,27470.1,673612.7,581181.4,610861.6,574442.8,599112.5,610776.6,657296.9,658264.3,603664.9,570082.7,563046.1,641753.6,38.90443854,-77.04133103,278853,396415.00992437,137398.826757414,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2018,,,
-8576201.996,4707993.5566,5434968,PM1257641,0161 0031,1257641,1111,,,In Compliance,1111 18TH STREET NW,JACK I BENDER & SONS INC,2,1111 18th Street NW,WASHINGTON,DC,20223,1965,Office,Office,110099,79905,50,92.4,92.5,254.4,254.6,677.7,8.5,,1481.1,1946.2,0,Whole Property,,0,0,0,0,2106454.9,32106.9,25500,11560.7,9510.5,6582.8,5705.4,5535.5,6168.4,5740.9,12875.4,28339.8,44992.2,645093.3,571996.8,611830.7,574850.2,589084.1,608401.2,660599.6,655467.3,603356.7,579222.7,531689.7,555632.6,38.90443854,-77.04133103,278853,396415.00992437,137398.826757414,2025/10/27 22:01:24+00,2025/08/22 00:00:00+00,,2019,,,
