"Property/Plant ID","Building Name",Address1,Address2,City,State,Zip,"Building Owner","Property Manager","Gross Floor Area","Number of Years Certified","Certification Years",Score(s),"Property Type","Year constructed","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
3928873,"	IUOE","1125 17th St. NW",,Washington,DC,20036,IUOE,,95981,2," 2001, 2015","83, 87",Office,1958,38.904507,-77.038107,1,rooftop,"1125 17th St NW",,"Washington, DC 20036",1125,"17th St NW",,,Washington,DC,"District of Columbia",20036,US,"Statewide (City of Washington)"
3956966,"	MARITIME PLAZA-2","1220 12th Street SE",,Washington,DC,20003,"COPT Defense Properties",,158913,9," 2016, 2017 , 2018 , 2019 , 2020 , 2021 , 2022 , 2023 , 2024","85, 85 , 85 , 81 , 87 , 89 , 90 , 92 , 92",Office,2003,38.875282,-76.989776,1,rooftop,"1220 12th St SE",,"Washington, DC 20003",1220,"12th St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
3957505,"	MARITIME PLAZA-1","1201 M Street, SE",,Washington,DC,20003,"COPT Defense Properties",,207338,9," 2016, 2017 , 2018 , 2019 , 2020 , 2021 , 2022 , 2023 , 2024","91, 91 , 93 , 88 , 90 , 90 , 93 , 94 , 92",Office,2001,38.876078,-76.98941,1,rooftop,"1201 M St SE",,"Washington, DC 20003",1201,"M St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
3970121,"	0223-0025_NYAVE (1440 NYA)","1440 New York Avenue",,Washington,DC,20005,"1440 New York Avenue Associates LP","Cushman && Wakefield",214390,16," 2007, 2008 , 2009 , 2010 , 2011 , 2013 , 2015 , 2015 , 2016 , 2016 , 2017 , 2017 , 2018 , 2018 , 2020 , 2021","79, 83 , 75 , 96 , 82 , 82 , 75 , 83 , 84 , 77 , 83 , 83 , 83 , 85 , 78 , 77",Office,1927,38.898695,-77.033355,1,rooftop,"1440 New York Ave NW",,"Washington, DC 20005",1440,"New York Ave NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
3990208,"	1100 VERMONT AVENUE","1100 Vermont Avenue",,Washington,DC,20005,"Deka USA Property Four LP","Cushman && Wakefield",68031,4," 2021, 2023 , 2024 , 2025","75, 83 , 78 , 75",Office,1964,38.903965,-77.033373,1,rooftop,"1100 Vermont Ave NW",,"Washington, DC 20005",1100,"Vermont Ave NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
3991512,"	WEST END RESIDENCES","1221 24th St NW",,Washington,DC,20037,"Bernstein Management Corporation",,67540,2," 2021, 2022","95, 94","Multifamily Housing",2000,38.90653,-77.051049,1,rooftop,"1221 24th St NW",,"Washington, DC 20037",1221,"24th St NW",,,Washington,DC,"District of Columbia",20037,US,"Statewide (City of Washington)"
3991731,"	DIPLOMAT","2420 16th St NW",,Washington,DC,20009,"Bernstein Management Corporation",,63170,3," 2021, 2022 , 2023","89, 88 , 85","Multifamily Housing",1950,38.921599,-77.036965,1,rooftop,"2420 16th St NW",,"Washington, DC 20009",2420,"16th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
3992388,"	MELWOOD","1803 Biltmore St NW",,Washington,DC,20009,"Bernstein Management Corporation",,72968,2," 2022, 2023","82, 81","Multifamily Housing",1927,38.922546,-77.043504,1,rooftop,"1803 Biltmore St NW",,"Washington, DC 20009",1803,"Biltmore St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
3992747,"	CONNECTICUT GARDENS","1915 Kalorama Rd NW",,Washington,DC,20009,"Bernstein Management Corporation",,58745,1," 2022",100,"Multifamily Housing",1940,38.919617,-77.045685,1,rooftop,"1915 Kalorama Rd NW",,"Washington, DC 20009",1915,"Kalorama Rd NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
3993109,"	HIGHVIEW","2505 13th St NW",,Washington,DC,20009,"Bernstein Management Corporation",,62455,3," 2021, 2022 , 2023","85, 84 , 84","Multifamily Housing",1926,38.922693,-77.02924,1,rooftop,"2505 13th St NW",,"Washington, DC 20009",2505,"13th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
