bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100048011,110010048011,G11000100048013,110010048013,0.4615195623,0.4055062996,0.4033092037,0.4480519481,0.3849721707,0.4056291391,0.4712389381,0.3226837061
G11000100048021,110010048021,G11000100048021,110010048021,1,1,1,1,1,1,1,1
G11000100048022,110010048022,G11000100048022,110010048022,1,1,1,1,1,1,1,1
G11000100049011,110010049011,G11000100049011,110010049011,1,1,1,1,1,1,1,1
G11000100049012,110010049012,G11000100049012,110010049012,0.3645113472,0.3698781838,0.3692848769,0.38,0.2795918367,0.3264957265,0.3142857143,0.2603174603
G11000100049012,110010049012,G11000100049013,110010049013,0.6354886528,0.6301218162,0.6307151231,0.62,0.7204081633,0.6735042735,0.6857142857,0.7396825397
G11000100049021,110010049021,G11000100049021,110010049021,1,1,1,1,1,1,1,1
G11000100049022,110010049022,G11000100049022,110010049022,0.3960320585,0.3665955176,0.3464658169,0.3931034483,0.3299725023,0.3338968724,0.162962963,0.4285714286
G11000100049022,110010049022,G11000100049023,110010049023,0.6039679415,0.6334044824,0.6535341831,0.6068965517,0.6700274977,0.6661031276,0.837037037,0.5714285714
G11000100050011,110010050011,G11000100050011,110010050011,1,1,1,1,1,1,1,1
G11000100050012,110010050012,G11000100050012,110010050012,0.9653648561,1,1,1,1,1,1,1
G11000100050012,110010050012,G11000100050042,110010050042,0.0346351439,0,0,0,0,0,0,0
G11000100050021,110010050021,G11000100050041,110010050041,1,1,1,1,1,1,1,1
G11000100050022,110010050022,G11000100050031,110010050031,0.5288595878,0.4180114524,0.4095083739,0.4319248826,0.3661290323,0.3649962603,0.54,0.3106382979
G11000100050022,110010050022,G11000100050032,110010050032,0.4711404122,0.5819885476,0.5904916261,0.5680751174,0.6338709677,0.6350037397,0.46,0.6893617021
G11000100050023,110010050023,G11000100050031,110010050031,0.0353223161,0.0261660978,0.027534418,0.0072992701,0.0362173038,0.0342205323,0.0307692308,0.0421940928
G11000100050023,110010050023,G11000100050042,110010050042,0.9646776839,0.9738339022,0.972465582,0.9927007299,0.9637826962,0.9657794677,0.9692307692,0.9578059072
G11000100050024,110010050024,G11000100050043,110010050043,1,1,1,1,1,1,1,1
G11000100052011,110010052011,G11000100052031,110010052031,0.4032454435,0.5343254921,0.5287469287,0.5375,0.5377358491,0.5317044793,0.2260273973,0.5692520776
G11000100052011,110010052011,G11000100052033,110010052033,0.5967545565,0.4656745079,0.4712530713,0.4625,0.4622641509,0.4682955207,0.7739726027,0.4307479224
G11000100052012,110010052012,G11000100052022,110010052022,1,1,1,1,1,1,1,1
G11000100052013,110010052013,G11000100052032,110010052032,1,1,1,1,1,1,1,1
G11000100052014,110010052014,G11000100052021,110010052021,0.3326438477,0.4529577465,0.4808405439,0.4128113879,0.5056285178,0.5073086844,0.5824175824,0.425
G11000100052014,110010052014,G11000100052023,110010052023,0.6673561523,0.5470422535,0.5191594561,0.5871886121,0.4943714822,0.4926913156,0.4175824176,0.575
G11000100053011,110010053011,G11000100053021,110010053021,1,1,1,1,1,1,1,1
G11000100053012,110010053012,G11000100053032,110010053032,1,1,1,1,1,1,1,1
G11000100053013,110010053013,G11000100053031,110010053031,0.5078834092,0.1726726727,0.1741444867,0.23,0.1685499058,0.1636205396,0.2830769231,0.118046133
G11000100053013,110010053013,G11000100053033,110010053033,0.4921165908,0.8273273273,0.8258555133,0.77,0.8314500942,0.8363794604,0.7169230769,0.881953867
G11000100053014,110010053014,G11000100053022,110010053022,0.4115322699,0.5615731786,0.5656498674,0.4863013699,0.5774647887,0.5663716814,0.3740458015,0.6438356164
G11000100053014,110010053014,G11000100053023,110010053023,0.5884677301,0.4384268214,0.4343501326,0.5136986301,0.4225352113,0.4336283186,0.6259541985,0.3561643836
G11000100055001,110010055001,G11000100055021,110010055021,1,1,1,1,1,1,1,1
G11000100055002,110010055002,G11000100001011,110010001011,0,0,0,0,0,0,0,0
G11000100055002,110010055002,G11000100001023,110010001023,0,0,0,0,0,0,0,0
G11000100055002,110010055002,G11000100055031,110010055031,0.2953763511,0.6757505774,0.6766809728,0.6903225806,0.6477192982,0.6014697569,0.6846473029,0.6288441145
G11000100055002,110010055002,G11000100055032,110010055032,0.7046236489,0.3242494226,0.3233190272,0.3096774194,0.3522807018,0.3985302431,0.3153526971,0.3711558855
G11000100055003,110010055003,G11000100055011,110010055011,0.5535268803,0.4825581395,0.4828614009,0.4252873563,0.505186722,0.4964200477,0.4671968191,0.546637744
G11000100055003,110010055003,G11000100055012,110010055012,0.4464731197,0.5174418605,0.5171385991,0.5747126437,0.494813278,0.5035799523,0.5328031809,0.453362256
G11000100055004,110010055004,G11000100055022,110010055022,1,1,1,1,1,1,1,1
G11000100055005,110010055005,G11000100055023,110010055023,1,1,1,1,1,1,1,1
G11000100056001,110010056001,G11000100001023,110010001023,0,0,0,0,0,0,0,0
G11000100056001,110010056001,G11000100056011,110010056011,0.255202505,0.5555555556,0.5538461538,0.5909090909,0.5565052232,0.5310233683,0.5510204082,0.5581683168
G11000100056001,110010056001,G11000100056012,110010056012,0.744797495,0.4444444444,0.4461538462,0.4090909091,0.4434947768,0.4689766317,0.4489795918,0.4418316832
G11000100056002,110010056002,G11000100001023,110010001023,0,0,0,0,0,0,0,0
G11000100056002,110010056002,G11000100056021,110010056021,0.1634273839,0.5027404086,0.5032978184,0.2741312741,0.4734774067,0.4534510433,0.3692509855,0.7821011673
G11000100056002,110010056002,G11000100056023,110010056023,0.7981406548,0.4972595914,0.4967021816,0.7258687259,0.5265225933,0.5465489567,0.6307490145,0.2178988327
G11000100056002,110010056002,G11000109800001,110019800001,0.0384319613,0,0,0,0,0,0,0
G11000100056003,110010056003,G11000100056022,110010056022,1,1,1,1,1,1,1,1
G11000100056004,110010056004,G11000100056013,110010056013,1,1,1,1,1,1,1,1
G11000100058001,110010058001,G11000100058021,110010058021,0.1654818768,0.0043010753,0.0033557047,0,0,0,0,0
G11000100058001,110010058001,G11000100058022,110010058022,0.2039378517,0.0021505376,0.0022371365,0,0,0,0,0
G11000100058001,110010058001,G11000100058023,110010058023,0.1181606433,0.0096774194,0.0089485459,0,0,0,0,0
G11000100058001,110010058001,G11000100058024,110010058024,0.0742240316,0.5688172043,0.5738255034,0.5733333333,0.6076923077,0.7079556898,0.3755458515,0.7339667458
G11000100058001,110010058001,G11000100058025,110010058025,0.4381955966,0.4150537634,0.4116331096,0.4266666667,0.3923076923,0.2920443102,0.6244541485,0.2660332542
G11000100058002,110010058002,G11000100058011,110010058011,0.319543595,0.3789473684,0.3832599119,0.4387096774,0.4301724138,0.4379284082,0.6909492274,0.2630834512
G11000100058002,110010058002,G11000100058012,110010058012,0.680456405,0.6210526316,0.6167400881,0.5612903226,0.5698275862,0.5620715918,0.3090507726,0.7369165488
G11000100059001,110010059001,G11000100047021,110010047021,0.0001059089,0,0,0,0,0,0,0
G11000100059001,110010059001,G11000100059001,110010059001,0.0375042247,0.5913942628,0.6065857886,0.5307692308,0.7248850952,0.7114561028,0.9862068966,0.6973875181
G11000100059001,110010059001,G11000100059002,110010059002,0.9623898664,0.4086057372,0.3934142114,0.4692307692,0.2751149048,0.2885438972,0.0137931034,0.3026124819
