bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100078071,110010078071,G11000100078071,110010078071,0.9956027456,1,1,1,1,1,1,1
G11000100078071,110010078071,G11000100078082,110010078082,0.0043972544,0,0,0,0,0,0,0
G11000100078072,110010078072,G11000100078072,110010078072,1,1,1,1,1,1,1,1
G11000100078081,110010078081,G11000100078081,110010078081,1,1,1,1,1,1,1,1
G11000100078082,110010078082,G11000100078082,110010078082,1,1,1,1,1,1,1,1
G11000100078083,110010078083,G11000100078083,110010078083,1,1,1,1,1,1,1,1
G11000100078091,110010078091,G11000100078091,110010078091,1,1,1,1,1,1,1,1
G11000100078092,110010078092,G11000100078092,110010078092,1,1,1,1,1,1,1,1
G11000100079011,110010079011,G11000100079011,110010079011,1,1,1,1,1,1,1,1
G11000100079012,110010079012,G11000100079012,110010079012,1,1,1,1,1,1,1,1
G11000100079013,110010079013,G11000100079013,110010079013,1,1,1,1,1,1,1,1
G11000100079014,110010079014,G11000100079014,110010079014,1,1,1,1,1,1,1,1
G11000100079031,110010079031,G11000100079031,110010079031,1,1,1,1,1,1,1,1
G11000100080011,110010080011,G11000100080011,110010080011,1,1,1,1,1,1,1,1
G11000100080012,110010080012,G11000100080012,110010080012,1,1,1,1,1,1,1,1
G11000100080013,110010080013,G11000100080013,110010080013,1,1,1,1,1,1,1,1
G11000100080021,110010080021,G11000100080021,110010080021,1,1,1,1,1,1,1,1
G11000100080022,110010080022,G11000100080022,110010080022,1,1,1,1,1,1,1,1
G11000100081001,110010081001,G11000100081001,110010081001,1,1,1,1,1,1,1,1
G11000100081002,110010081002,G11000100081002,110010081002,1,1,1,1,1,1,1,1
G11000100081003,110010081003,G11000100081003,110010081003,1,1,1,1,1,1,1,1
G11000100082001,110010082001,G11000100082001,110010082001,1,1,1,1,1,1,1,1
G11000100082002,110010082002,G11000100082002,110010082002,0.2480013105,0.3301752724,0.3314403717,0.3177257525,0.3533270853,0.3732993197,0.2952853598,0.3885542169
G11000100082002,110010082002,G11000100082003,110010082003,0.2680541294,0.3202273804,0.3045947341,0.4147157191,0.2999062793,0.2823129252,0.3573200993,0.265060241
G11000100082002,110010082002,G11000100082004,110010082004,0.4839445601,0.3495973472,0.3639648942,0.2675585284,0.3467666354,0.3443877551,0.3473945409,0.3463855422
G11000100083011,110010083011,G11000100083011,110010083011,1,1,1,1,1,1,1,1
G11000100083012,110010083012,G11000100083012,110010083012,1,1,1,1,1,1,1,1
G11000100083021,110010083021,G11000100083021,110010083021,0.3422042156,0.4147778785,0.4046391753,0.4623115578,0.4192546584,0.4166666667,0.4669117647,0.3578199052
G11000100083021,110010083021,G11000100083022,110010083022,0.3690890065,0.2883046238,0.2953608247,0.2814070352,0.3064182195,0.3129844961,0.2702205882,0.3530805687
G11000100083021,110010083021,G11000100083023,110010083023,0.2887067779,0.2969174977,0.3,0.256281407,0.2743271222,0.2703488372,0.2628676471,0.2890995261
G11000100084021,110010084021,G11000100084021,110010084021,1,1,1,1,1,1,1,1
G11000100084022,110010084022,G11000100084022,110010084022,1,1,1,1,1,1,1,1
G11000100084101,110010084101,G11000100084101,110010084101,1,1,1,1,1,1,1,1
G11000100087011,110010087011,G11000100087011,110010087011,1,1,1,1,1,1,1,1
G11000100087012,110010087012,G11000100087012,110010087012,1,1,1,1,1,1,1,1
G11000100087021,110010087021,G11000100087021,110010087021,1,1,1,1,1,1,1,1
G11000100087022,110010087022,G11000100087022,110010087022,0.1946846047,0.0900735294,0.0897155361,0.09375,0.07421875,0.0581395349,0.1304347826,0.0283687943
G11000100087022,110010087022,G11000100087023,110010087023,0.8053153953,0.9099264706,0.9102844639,0.90625,0.92578125,0.9418604651,0.8695652174,0.9716312057
G11000100088021,110010088021,G11000100088021,110010088021,1,1,1,1,1,1,1,1
G11000100088022,110010088022,G11000100088022,110010088022,1,1,1,1,1,1,1,1
G11000100088023,110010088023,G11000100088023,110010088023,1,1,1,1,1,1,1,1
G11000100088024,110010088024,G11000100088024,110010088024,1,1,1,1,1,1,1,1
G11000100088031,110010088031,G11000100088031,110010088031,0.3216202428,0.4212076583,0.3662960796,0.7068965517,0.6968325792,0.727124183,0.6610169492,0.7023498695
G11000100088031,110010088031,G11000100088032,110010088032,0.6783797572,0.5787923417,0.6337039204,0.2931034483,0.3031674208,0.272875817,0.3389830508,0.2976501305
G11000100088041,110010088041,G11000100088041,110010088041,1,1,1,1,1,1,1,1
G11000100088042,110010088042,G11000100088042,110010088042,1,1,1,1,1,1,1,1
G11000100089031,110010089031,G11000100089032,110010089032,0.5235505787,0.7258883249,0.7091346154,0.7237569061,0.7085635359,0.6796785304,0.7852348993,0.6549295775
G11000100089031,110010089031,G11000100089033,110010089033,0.473858052,0.2741116751,0.2908653846,0.2762430939,0.2914364641,0.3203214696,0.2147651007,0.3450704225
G11000100089031,110010089031,G11000100089041,110010089041,0.0025913693,0,0,0,0,0,0,0
G11000100089032,110010089032,G11000100089031,110010089031,1,1,1,1,1,1,1,1
G11000100089041,110010089041,G11000100089042,110010089042,0.3070085274,0.5201211597,0.5288888889,0.5125240848,0.5146788991,0.5317073171,0.9056603774,0.4946962392
G11000100089041,110010089041,G11000100089043,110010089043,0.6929914726,0.4798788403,0.4711111111,0.4874759152,0.4853211009,0.4682926829,0.0943396226,0.5053037608
G11000100089042,110010089042,G11000100089041,110010089041,1,1,1,1,1,1,1,1
G11000100090001,110010090001,G11000100090001,110010090001,0.0025324106,0,0,0,0,0,0,0
G11000100090001,110010090001,G11000100090002,110010090002,0.5673410195,0.365159129,0.3680227058,0.4122807018,0.3643512451,0.3620253165,0,0.4818024263
G11000100090001,110010090001,G11000100090003,110010090003,0.4301265699,0.634840871,0.6319772942,0.5877192982,0.6356487549,0.6379746835,1,0.5181975737
G11000100090002,110010090002,G11000100090001,110010090001,1,1,1,1,1,1,1,1
G11000100091021,110010091021,G11000100091021,110010091021,0.9995730413,0.9986442711,0.9988071272,0.9985219249,0.9990150534,0.9990967319,0.9986034319,0.9996283966
G11000100091021,110010091021,G11000100091022,110010091022,0.0004269587,0.0013557289,0.0011928728,0.0014780751,0.0009849466,0.0009032681,0.0013965681,0.0003716034
G11000100091022,110010091022,G11000100091023,110010091023,0.5363011652,0.9184639663,0.9100877193,0.9119804401,0.9305177112,0.931198102,0.884057971,0.9585152838
G11000100091022,110010091022,G11000100091024,110010091024,0.4636988348,0.0815360337,0.0899122807,0.0880195599,0.0694822888,0.068801898,0.115942029,0.0414847162
G11000100091023,110010091023,G11000100091022,110010091022,1,1,1,1,1,1,1,1
G11000100092011,110010092011,G11000100092011,110010092011,0.22578419,0.2363360324,0.2161547213,0.3729508197,0.3543859649,0.3602584814,0.323943662,0.3725490196
G11000100092011,110010092011,G11000100092012,110010092012,0.76876442,0.7636639676,0.7838452787,0.6270491803,0.6456140351,0.6397415186,0.676056338,0.6274509804
G11000100092011,110010092011,G11000100093012,110010093012,0.0054513899,0,0,0,0,0,0,0
G11000100092031,110010092031,G11000100092031,110010092031,1,1,1,1,1,1,1,1
G11000100092032,110010092032,G11000100092032,110010092032,1,1,1,1,1,1,1,1
G11000100092041,110010092041,G11000100092041,110010092041,1,1,1,1,1,1,1,1
G11000100092042,110010092042,G11000100092042,110010092042,1,1,1,1,1,1,1,1
G11000100093011,110010093011,G11000100093011,110010093011,1,1,1,1,1,1,1,1
G11000100093012,110010093012,G11000100093012,110010093012,1,1,1,1,1,1,1,1
G11000100093013,110010093013,G11000100093013,110010093013,1,1,1,1,1,1,1,1
G11000100093014,110010093014,G11000100093014,110010093014,1,1,1,1,1,1,1,1
G11000100093021,110010093021,G11000100093021,110010093021,1,1,1,1,1,1,1,1
G11000100094001,110010094001,G11000100094001,110010094001,1,1,1,1,1,1,1,1
G11000100094002,110010094002,G11000100094002,110010094002,1,1,1,1,1,1,1,1
G11000100094003,110010094003,G11000100094003,110010094003,1,1,1,1,1,1,1,1
G11000100094004,110010094004,G11000100094003,110010094003,0.0020738027,0,0,0,0,0,0,0
G11000100094004,110010094004,G11000100094004,110010094004,0.9979261973,1,1,1,1,1,1,1
G11000100095011,110010095011,G11000100095084,110010095084,0.0553433071,0,0,0,0,0,0,0
G11000100095011,110010095011,G11000100095101,110010095101,0.9446566929,1,1,1,1,1,1,1
G11000100095012,110010095012,G11000100095102,110010095102,1,1,1,1,1,1,1,1
G11000100095013,110010095013,G11000100095041,110010095041,0.0019823759,0,0,0,0,0,0,0
G11000100095013,110010095013,G11000100095103,110010095103,0.1870120436,0.3238255034,0.2875840113,1,0.9980430528,0.9982547993,1,0.9974747475
G11000100095013,110010095013,G11000100095111,110010095111,0.8110055805,0.6761744966,0.7124159887,0,0.0019569472,0.0017452007,0,0.0025252525
G11000100095031,110010095031,G11000100095031,110010095031,1,1,1,1,1,1,1,1
G11000100095032,110010095032,G11000100095032,110010095032,1,1,1,1,1,1,1,1
G11000100095033,110010095033,G11000100095033,110010095033,1,1,1,1,1,1,1,1
G11000100095041,110010095041,G11000100095041,110010095041,1,1,1,1,1,1,1,1
G11000100095042,110010095042,G11000100095042,110010095042,1,1,1,1,1,1,1,1
G11000100095051,110010095051,G11000100095051,110010095051,1,1,1,1,1,1,1,1
G11000100095052,110010095052,G11000100095052,110010095052,1,1,1,1,1,1,1,1
G11000100095053,110010095053,G11000100095053,110010095053,1,1,1,1,1,1,1,1
G11000100095071,110010095071,G11000100095071,110010095071,1,1,1,1,1,1,1,1
G11000100095081,110010095081,G11000100095053,110010095053,0.0021733297,0,0,0,0,0,0,0
G11000100095081,110010095081,G11000100095082,110010095082,0.0024993292,0.0471688577,0.0505968325,0.0593485178,0.0560047797,0.0569926605,0,0.0582752438
G11000100095081,110010095081,G11000100095083,110010095083,0.2468858181,0.4882108245,0.5050077612,0.4329800579,0.5047197718,0.4988307816,0.0416666667,0.523492195
G11000100095081,110010095081,G11000100095084,110010095084,0.7473482051,0.4646203177,0.4443954063,0.5076714243,0.4392754485,0.444176558,0.9583333333,0.4182325613
G11000100095081,110010095081,G11000100095101,110010095101,0.0010933179,0,0,0,0,0,0,0
G11000100095082,110010095082,G11000100095081,110010095081,1,1,1,1,1,1,1,1
G11000100095083,110010095083,G11000100095082,110010095082,1,1,1,1,1,1,1,1
G11000100095091,110010095091,G11000100095091,110010095091,1,1,1,1,1,1,1,1
G11000100095092,110010095092,G11000100095092,110010095092,1,1,1,1,1,1,1,1
G11000100095093,110010095093,G11000100095093,110010095093,1,1,1,1,1,1,1,1
G11000100096011,110010096011,G11000100096011,110010096011,1,1,1,1,1,1,1,1
G11000100096011,110010096011,G11000100096021,110010096021,0,0,0,0,0,0,0,0
G11000100096021,110010096021,G11000100096011,110010096011,0,0,0,0,0,0,0,0
G11000100096021,110010096021,G11000100096022,110010096022,0.2809026773,0.8215909091,0.8060309698,0.8392484342,0.8322237017,0.8291517324,0.012987013,0.9258160237
G11000100096021,110010096021,G11000100096023,110010096023,0.7190973227,0.1784090909,0.1939690302,0.1607515658,0.1677762983,0.1708482676,0.987012987,0.0741839763
G11000100096022,110010096022,G11000100096011,110010096011,0,0,0,0,0,0,0,0
G11000100096022,110010096022,G11000100096021,110010096021,0.8326961991,0,0,0,0,0,0,0
G11000100096022,110010096022,G11000100096022,110010096022,0.1458615466,1,1,1,1,1,1,1
G11000100096022,110010096022,G11000100096023,110010096023,0.0214422543,0,0,0,0,0,0,0
G11000100096031,110010096031,G11000100096031,110010096031,1,1,1,1,1,1,1,1
G11000100096032,110010096032,G11000100096032,110010096032,1,1,1,1,1,1,1,1
G11000100096033,110010096033,G11000100096033,110010096033,1,1,1,1,1,1,1,1
G11000100096041,110010096041,G11000100096041,110010096041,1,1,1,1,1,1,1,1
G11000100096042,110010096042,G11000100096023,110010096023,0.0133377141,0,0,0,0,0,0,0
G11000100096042,110010096042,G11000100096042,110010096042,0.9866622859,1,1,1,1,1,1,1
G11000100097001,110010097001,G11000100073044,110010073044,0,0,0,0,0,0,0,0
G11000100097001,110010097001,G11000100097002,110010097002,0.5136500067,0.6200746578,0.6351829988,0.6179966044,0.5864745011,0.6201780415,0.6845238095,0.5282685512
G11000100097001,110010097001,G11000100097003,110010097003,0.4863499933,0.3799253422,0.3648170012,0.3820033956,0.4135254989,0.3798219585,0.3154761905,0.4717314488
G11000100097002,110010097002,G11000100097001,110010097001,1,1,1,1,1,1,1,1
G11000100098011,110010098011,G11000100098011,110010098011,1,1,1,1,1,1,1,1
G11000100098011,110010098011,G11000100098032,110010098032,0,0,0,0,0,0,0,0
G11000100098011,110010098011,G11000100098041,110010098041,0,0,0,0,0,0,0,0
G11000100098021,110010098021,G11000100098021,110010098021,1,1,1,1,1,1,1,1
G11000100098022,110010098022,G11000100098022,110010098022,1,1,1,1,1,1,1,1
G11000100098031,110010098031,G11000100098031,110010098031,1,1,1,1,1,1,1,1
G11000100098032,110010098032,G11000100098032,110010098032,1,1,1,1,1,1,1,1
G11000100098033,110010098033,G11000100098033,110010098033,1,1,1,1,1,1,1,1
G11000100098041,110010098041,G11000100098041,110010098041,1,1,1,1,1,1,1,1
G11000100098042,110010098042,G11000100098042,110010098042,1,1,1,1,1,1,1,1
G11000100098071,110010098071,G11000100098071,110010098071,1,1,1,1,1,1,1,1
G11000100098072,110010098072,G11000100098072,110010098072,0.2577065521,0.5329970576,0.5253779698,0.5258126195,0.5448536355,0.5428802589,0.3069908815,0.6520547945
G11000100098072,110010098072,G11000100098073,110010098073,0.7422934479,0.4670029424,0.4746220302,0.4741873805,0.4551463645,0.4571197411,0.6930091185,0.3479452055
G11000100098101,110010098101,G11000100098101,110010098101,1,1,1,1,1,1,1,1
G11000100098102,110010098102,G11000100098102,110010098102,1,1,1,1,1,1,1,1
G11000100098111,110010098111,G11000100098111,110010098111,1,1,1,1,1,1,1,1
G11000100098112,110010098112,G11000100098112,110010098112,0.5178447978,0.5792057117,0.568777991,0.5659050967,0.5763239875,0.5570902394,0.3085106383,0.6412903226
G11000100098112,110010098112,G11000100098113,110010098113,0.4821552022,0.4207942883,0.431222009,0.4340949033,0.4236760125,0.4429097606,0.6914893617,0.3587096774
G11000100099011,110010099011,G11000100099011,110010099011,1,1,1,1,1,1,1,1
G11000100099012,110010099012,G11000100099012,110010099012,1,1,1,1,1,1,1,1
G11000100099021,110010099021,G11000100099021,110010099021,1,1,1,1,1,1,1,1
G11000100099022,110010099022,G11000100099022,110010099022,1,1,1,1,1,1,1,1
G11000100099031,110010099031,G11000100099031,110010099031,1,1,1,1,1,1,1,1
G11000100099032,110010099032,G11000100099032,110010099032,1,1,1,1,1,1,1,1
G11000100099041,110010099041,G11000100099041,110010099041,1,1,1,1,1,1,1,1
G11000100099042,110010099042,G11000100099042,110010099042,0.5418383086,0.5651586766,0.6086508754,0.5571847507,0.6512455516,0.621253406,0.3935483871,0.7493857494
G11000100099042,110010099042,G11000100099043,110010099043,0.4581616914,0.4348413234,0.3913491246,0.4428152493,0.3487544484,0.378746594,0.6064516129,0.2506142506
G11000100099051,110010099051,G11000100099051,110010099051,1,1,1,1,1,1,1,1
G11000100099052,110010099052,G11000100099052,110010099052,1,1,1,1,1,1,1,1
G11000100099053,110010099053,G11000100099053,110010099053,1,1,1,1,1,1,1,1
G11000100099061,110010099061,G11000100099061,110010099061,1,1,1,1,1,1,1,1
G11000100099071,110010099071,G11000100099071,110010099071,1,1,1,1,1,1,1,1
G11000100099072,110010099072,G11000100099072,110010099072,1,1,1,1,1,1,1,1
G11000100101001,110010101001,G11000100058021,110010058021,0.0022881556,0,0,0,0,0,0,0
G11000100101001,110010101001,G11000100101002,110010101002,0.3692115112,0.5169753086,0.5151838039,0.5891891892,0.5256609642,0.5003274394,0.507082153,0.5326902465
G11000100101001,110010101001,G11000100101003,110010101003,0.6285003332,0.4830246914,0.4848161961,0.4108108108,0.4743390358,0.4996725606,0.492917847,0.4673097535
G11000100101002,110010101002,G11000100101001,110010101001,1,1,1,1,1,1,1,1
G11000100102001,110010102001,G11000100102021,110010102021,0.3253938109,0,0,0,0,0,0,0
G11000100102001,110010102001,G11000100102022,110010102022,0.3694037965,0.9788806758,0.977324263,1,1,1,1,1
G11000100102001,110010102001,G11000100102024,110010102024,0.3052023926,0.0211193242,0.022675737,0,0,0,0,0
G11000100102002,110010102002,G11000100102011,110010102011,0.0687233593,0.2018881627,0.2090007628,0.175257732,0.2275189599,0.2367194781,0.0130718954,0.2701298701
G11000100102002,110010102002,G11000100102012,110010102012,0.073063782,0.1670297749,0.1632341724,0.1288659794,0.1755146262,0.2367194781,0.3202614379,0.1467532468
G11000100102002,110010102002,G11000100102013,110010102013,0.0528463156,0.4408133624,0.4424103738,0.4226804124,0.4582881907,0.4035414725,0,0.5493506494
G11000100102002,110010102002,G11000100102023,110010102023,0.1846749691,0,0,0,0,0,0,0
G11000100102002,110010102002,G11000100102025,110010102025,0.4486806228,0.1902687001,0.1853546911,0.2731958763,0.1386782232,0.1230195713,0.6666666667,0.0337662338
G11000100102002,110010102002,G11000100102026,110010102026,0.168961526,0,0,0,0,0,0,0
G11000100102002,110010102002,G11000109800001,110019800001,0.0030494252,0,0,0,0,0,0,0
G11000100103001,110010103001,G11000100103001,110010103001,1,1,1,1,1,1,1,1
G11000100103002,110010103002,G11000100103002,110010103002,1,1,1,1,1,1,1,1
G11000100103003,110010103003,G11000100103003,110010103003,1,1,1,1,1,1,1,1
G11000100104001,110010104001,G11000100104001,110010104001,1,1,1,1,1,1,1,1
G11000100104002,110010104002,G11000100073013,110010073013,0.0444231414,0,0,0,0,0,0,0
G11000100104002,110010104002,G11000100074011,110010074011,0.0066079563,0.0253206182,0.0209467951,0.0348623853,0.0233236152,0.0205086136,0,0.031496063
G11000100104002,110010104002,G11000100074043,110010074043,0.0033847228,0,0,0,0,0,0,0
G11000100104002,110010104002,G11000100104002,110010104002,0.0740622853,0.5182505755,0.4838709677,0.6403669725,0.6550048591,0.6382280558,0.7265917603,0.6299212598
G11000100104002,110010104002,G11000100104003,110010104003,0.8715218942,0.4564288063,0.4951822371,0.3247706422,0.3216715258,0.3412633306,0.2734082397,0.3385826772
G11000100105001,110010105001,G11000100105003,110010105003,0.3332464652,0.7414500532,0.7100863989,0.7641835064,0.6824204334,0.6832068944,0.6981142302,0.6792303392
G11000100105001,110010105001,G11000100105005,110010105005,0.6667535348,0.2585499468,0.2899136011,0.2358164936,0.3175795666,0.3167931056,0.3018857698,0.3207696608
G11000100105002,110010105002,G11000100105001,110010105001,0.2312277769,0.0013860014,0.0014684288,0.0046296296,0.0010309278,0.0008169935,0,0.0018796992
G11000100105002,110010105002,G11000100105002,110010105002,0.1617760884,0.9986139986,0.9985315712,0.9953703704,0.9989690722,0.9991830065,1,0.9981203008
G11000100105002,110010105002,G11000100105004,110010105004,0.6069961347,0,0,0,0,0,0,0
G11000100106001,110010106001,G11000100106021,110010106021,1,1,1,1,1,1,1,1
G11000100106002,110010106002,G11000100106011,110010106011,0.1295911764,0.0208510638,0.0180487805,0.0193236715,0.0111627907,0.0149960537,0.0115740741,0.0108864697
G11000100106002,110010106002,G11000100106012,110010106012,0.0875315093,0,0,0,0,0,0,0
G11000100106002,110010106002,G11000100106023,110010106023,0.1100491593,0.5238297872,0.5512195122,0.4806763285,0.5897674419,0.590370955,0.375,0.734059098
G11000100106002,110010106002,G11000100106024,110010106024,0.2244357308,0.4480851064,0.4229268293,0.4975845411,0.3981395349,0.3938437253,0.6111111111,0.2550544323
G11000100106002,110010106002,G11000100106031,110010106031,0.2975603867,0.0072340426,0.007804878,0.0024154589,0.0009302326,0.000789266,0.0023148148,0
G11000100106002,110010106002,G11000100106032,110010106032,0.0282168416,0,0,0,0,0,0,0
G11000100106002,110010106002,G11000100106033,110010106033,0.1226151959,0,0,0,0,0,0,0
G11000100106003,110010106003,G11000100106022,110010106022,1,1,1,1,1,1,1,1
G11000100107001,110010107001,G11000100107001,110010107001,1,1,1,1,1,1,1,1
G11000100107002,110010107002,G11000100107002,110010107002,1,1,1,1,1,1,1,1
G11000100108001,110010108001,G11000100108001,110010108001,1,1,1,1,1,1,1,1
G11000100108002,110010108002,G11000100108002,110010108002,0.1952353297,0.0075500189,0.006466337,0,0,0,0,0
G11000100108002,110010108002,G11000100108004,110010108004,0.4319569618,0.0060400151,0.0053252187,0,0,0,0,0
G11000100108002,110010108002,G11000100108005,110010108005,0.0952840015,0,0,0,0,0,0,0
G11000100108002,110010108002,G11000100108006,110010108006,0.277523707,0.986409966,0.9882084443,1,1,1,1,1
G11000100108003,110010108003,G11000100108003,110010108003,1,1,1,1,1,1,1,1
G11000100109001,110010109001,G11000100109001,110010109001,1,1,1,1,1,1,1,1
G11000100109002,110010109002,G11000100109002,110010109002,1,1,1,1,1,1,1,1
G11000100110001,110010110001,G11000100110011,110010110011,1,1,1,1,1,1,1,1
G11000100110002,110010110002,G11000100110021,110010110021,1,1,1,1,1,1,1,1
G11000100110003,110010110003,G11000100110022,110010110022,1,1,1,1,1,1,1,1
G11000100110004,110010110004,G11000100110012,110010110012,0.5040455088,0.4168719212,0.4334009466,0.3697183099,0.4456824513,0.4410299003,0.4480946124,0.4398734177
G11000100110004,110010110004,G11000100110013,110010110013,0.4959544912,0.5831280788,0.5665990534,0.6302816901,0.5543175487,0.5589700997,0.5519053876,0.5601265823
G11000100111001,110010111001,G11000100111001,110010111001,1,1,1,1,1,1,1,1
G11000100111002,110010111002,G11000100111002,110010111002,1,1,1,1,1,1,1,1
G11000100111003,110010111003,G11000100111003,110010111003,1,1,1,1,1,1,1,1
