blk2020gj,blk2020ge,blk2010gj,blk2010ge,parea,weight
G11000100001011000,110010001011000,G11000100001002000,110010001002000,0.9899055987,1
G11000100001011000,110010001011000,G11000100041003026,110010041003026,0,0
G11000100001011000,110010001011000,G11000100041003027,110010041003027,0.0100944013,0
G11000100001011001,110010001011001,G11000100001002001,110010001002001,1,1
G11000100001011002,110010001011002,G11000100001002005,110010001002005,1,1
G11000100001011002,110010001011002,G11000100055002009,110010055002009,0,0
G11000100001011003,110010001011003,G11000100001002004,110010001002004,1,1
G11000100001011004,110010001011004,G11000100001002003,110010001002003,1,1
G11000100001011005,110010001011005,G11000100001002008,110010001002008,1,1
G11000100001011006,110010001011006,G11000100001002002,110010001002002,1,1
G11000100001011007,110010001011007,G11000100001002006,110010001002006,1,1
G11000100001011008,110010001011008,G11000100001002007,110010001002007,1,1
G11000100001011009,110010001011009,G11000100001002009,110010001002009,1,1
G11000100001021000,110010001021000,G11000100001001000,110010001001000,1,1
G11000100001021001,110010001021001,G11000100001001000,110010001001000,1,1
G11000100001021002,110010001021002,G11000100001001000,110010001001000,1,1
G11000100001021003,110010001021003,G11000100001001000,110010001001000,1,1
G11000100001021004,110010001021004,G11000100001001000,110010001001000,1,1
G11000100001021005,110010001021005,G11000100001001001,110010001001001,1,1
G11000100001021006,110010001021006,G11000100001001000,110010001001000,1,1
G11000100001021007,110010001021007,G11000100041003010,110010041003010,1,1
G11000100001021008,110010001021008,G11000100001001002,110010001001002,1,1
G11000100001021009,110010001021009,G11000100001001004,110010001001004,1,1
G11000100001021010,110010001021010,G11000100001001005,110010001001005,1,1
G11000100001021011,110010001021011,G11000100001001006,110010001001006,1,1
G11000100001021012,110010001021012,G11000100001001007,110010001001007,1,1
G11000100001021013,110010001021013,G11000100001001010,110010001001010,1,1
G11000100001021014,110010001021014,G11000100001001003,110010001001003,1,1
G11000100001021015,110010001021015,G11000100001001009,110010001001009,1,1
G11000100001021016,110010001021016,G11000100001001008,110010001001008,1,1
G11000100001021017,110010001021017,G11000100001001011,110010001001011,1,1
G11000100001022000,110010001022000,G11000100001003000,110010001003000,1,1
G11000100001022001,110010001022001,G11000100001003001,110010001003001,1,1
G11000100001022002,110010001022002,G11000100001003002,110010001003002,1,1
G11000100001022003,110010001022003,G11000100001003003,110010001003003,1,1
G11000100001022004,110010001022004,G11000100001003004,110010001003004,1,1
G11000100001022005,110010001022005,G11000100001003005,110010001003005,1,1
G11000100001022006,110010001022006,G11000100001003006,110010001003006,1,1
G11000100001022007,110010001022007,G11000100001003007,110010001003007,1,1
G11000100001022008,110010001022008,G11000100001003008,110010001003008,1,1
G11000100001022009,110010001022009,G11000100001003009,110010001003009,1,1
G11000100001022010,110010001022010,G11000100001003010,110010001003010,1,1
G11000100001022011,110010001022011,G11000100001003011,110010001003011,1,1
G11000100001022012,110010001022012,G11000100001003012,110010001003012,1,1
G11000100001023000,110010001023000,G11000100001004000,110010001004000,1,1
G11000100001023001,110010001023001,G11000100001004001,110010001004001,1,1
G11000100001023002,110010001023002,G11000100001004002,110010001004002,1,1
G11000100001023003,110010001023003,G11000100001004003,110010001004003,1,1
G11000100001023004,110010001023004,G11000100001004004,110010001004004,1,1
G11000100001023005,110010001023005,G11000100001004005,110010001004005,1,1
G11000100001023006,110010001023006,G11000100001004006,110010001004006,1,1
G11000100001023007,110010001023007,G11000100001004007,110010001004007,1,1
G11000100001023008,110010001023008,G11000100001004008,110010001004008,1,1
G11000100001023009,110010001023009,G11000100001004009,110010001004009,1,1
G11000100001023010,110010001023010,G11000100001004010,110010001004010,1,1
G11000100001023011,110010001023011,G11000100001004011,110010001004011,1,1
G11000100001023012,110010001023012,G11000100001004012,110010001004012,1,1
G11000100001023013,110010001023013,G11000100001004013,110010001004013,1,1
G11000100001023014,110010001023014,G11000100001004014,110010001004014,1,1
G11000100001023015,110010001023015,G11000100001004015,110010001004015,1,1
G11000100001023016,110010001023016,G11000100001004017,110010001004017,0.8001582905,1
G11000100001023016,110010001023016,G11000100001004018,110010001004018,0.1998417095,0
