GISJOIN,GEOID,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,BLOCKA,SCSAA,SEA,CBD,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C7M001,C7M002,C7M003,C7N001,C75001,C8Y001,C8Z001,C8Z002,C8Z003,C9A001,C9B001,C9B002,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C9F001,C9G001,C9G002,C9G003,C9G004,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052,C69001,C7A001,C7A002,C7B001,C7B002,C7B003,C7B004,C7C001,C7C002,C7C003,C7C004,C7C005,C7C006,C7C007,C7C008,C7C009,C7C010,C7C011,C7C012,C7C013,C7C014,C7C015,C7C016,C7C017,C7C018,C7C019,C7C020,C7D001,C7D002,C7D003,C7D004,C7E001,C7E002,C7E003,C7E004,C7E005,C7E006,C7E007,C7E008,C7E009,C7E010,C7E011,C7E012,C7F001,C7F002,C7F003,C7F004,C7F005,C7F006,C7F007,C7F008,C7F009,C7F010,C7G001,C7G002,C7G003,C7G004,C7G005,C7G006,C7G007,C7G008,C7G009,C7H001,C7H002,C7H003,C7H004,C7H005,C7H006,C7H007,C7I001,C7I002,C7I003,C7I004,C7I005,C7I006,C7I007,C7J001,C7J002,C7K001,C7K002,C7K003,C7K004,C7O001,C7O002,C7O003,C7O004,C7O005,C7O006,C7O007,C7O008,C7O009,C7P001,C7P002,C7P003,C7Q001,C7Q002,C7Q003,C7R001,C7R002,C7S001,C7S002,C7S003,C7S004,C7T001,C7U001,C7U002,C7U003,C7U004,C7V001,C7W001,C7W002,C7X001,C7X002,C7X003,C7X004,C7X005,C7Y001,C7Y002,C7Y003,C7Y004,C7Y005,C7Y006,C7Y007,C7Y008,C7Y009,C7Y010,C7Z001,C70001,C70002,C70003,C71001,C71002,C72001,C72002,C72003,C72004,C72005,C72006,C73001,C74001,C74002,C74003,C74004,C76001,C76002,C76003,C76004,C76005,C76006,C77001,C78001,C79001,C79002,C79003,C79004,C79005,C8A001,C8A002,C8A003,C8A004,C8A005,C8A006,C8B001,C8B002,C8B003,C8B004,C8B005,C8B006,C8B007,C8B008,C8B009,C8B010,C8B011,C8B012,C8C001,C8D001,C8E001,C8F001,C8F002,C8G001,C8G002,C8G003,C8H001,C8H002,C8H003,C8H004,C8H005,C8H006,C8I001,C8I002,C8I003,C8I004,C8I005,C8I006,C8I007,C8I008,C8I009,C8I010,C8I011,C8I012,C8I013,C8J001,C8K001,C8K002,C8L001,C8L002,C8M001,C8M002,C8N001,C8N002,C8N003,C8N004,C8N005,C8N006,C8N007,C8N008,C8N009,C8N010,C8N011,C8N012,C8N013,C8N014,C8O001,C8P001,C8P002,C8Q001,C8Q002,C8R001,C8R002,C8S001,C8S002,C8S003,C8S004,C8T001,C8T002,C8T003,C8T004,C8U001,C8V001,C8V002,C8W001,C8X001,C8X002,C80001,C81001,C81002,C82001,C83001,C84001,C85001,C85002,C85003,C85004,C86001,C87001,C87002,C87003,C87004,C87005,C87006,C87007,C88001,C89001,C89002,C89003,C89004,C89005,C89006,C89007,C89008,C89009
G11000100015117,110010015117,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,1,117,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G11000100015201,110010015201,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,201,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G11000100015202,110010015202,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,202,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G11000100015203,110010015203,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,203,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,16,20,20,20,0,0,20,20,0,23,35,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,2,0,0,2,0,3,3,2,7,8,3,3,6,9,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3,4,1,2,2,5,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,1,0,2,2,2,4,4,2,1,4,4,3,0,48.8,51.3,46.3,3,6,37,12,0,0,15,9,3,6,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,1,0,0,10,15,0,6,1,16,15,21,1,0,4,1,0,0,0,3,15,0,1,0,1,0,9,0,0,0,0,0,3,6,5,0,0,0,4,2,4,0,0,2,0,0,0,3,9,0,2,5,0,1,6,1,6,0,0,2,0,0,0,0,20,20,0,10,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,5.6,164,164,0,0,0,0,3,7,3,4,2,1,3,7,3,4,2,1,0,0,0,0,0,0,2.5,2.9,58,58,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,10,200100,3665000,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,4,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0
G11000100015204,110010015204,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,204,,A,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,62,62,0,0,19,19,20,20,0,0,20,19,1,27,35,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1,1,1,0,0,0,0,1,1,0,0,10,6,2,1,1,1,1,0,0,1,1,0,2,11,7,4,1,2,9,0,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,5,3,1,1,1,5,0,0,0,0,0,0,0,6,2,2,1,1,1,1,0,0,1,1,0,1,6,4,3,0,1,4,0,0,37.7,40,35.8,2,21,30,9,1,15,18,9,1,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,16,0,0,0,6,16,0,0,3,19,16,25,2,0,0,0,0,0,0,0,16,0,3,0,0,0,19,4,0,0,0,0,2,21,8,0,2,0,5,4,0,0,0,0,0,0,0,0,7,0,0,6,0,1,5,,,,,2,0,0,0,1,19,17,2,13,6,0,0,0,12,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,19,5.6,172,,,0,0,7,0,8,4,2,4,1,,,,,,,,,,,,,2.88,3.26,62,,,18,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,5,8,1,162500,2312500,0,14,0,0,0,,,,,,,,,,,,,,,,,0,,0,20,0,19,0,1,0,,,,,0,,,6,,,0,6,0,0,0,0,18,2,0,0,3,4,0,1,0,2,0,1,2,2,0,0,0,0,0,0,1,0
G11000100015205,110010015205,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,205,,A,,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,53,53,0,0,17,19,20,20,0,0,20,19,1,28,25,40,10,0,0,0,3,0,0,0,0,0,0,0,0,0,51,1,0,0,1,2,2,0,0,0,0,1,1,0,0,4,4,1,0,0,1,0,0,0,0,3,5,2,7,7,5,3,0,7,2,0,0,1,1,0,0,2,1,1,0,0,1,0,0,0,0,2,3,1,4,3,2,2,0,3,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,2,1,3,4,3,1,0,4,1,0,41.4,37.5,46.3,2,10,32,9,2,6,25,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5,17,0,0,0,1,17,1,0,1,17,16,13,2,1,1,3,0,0,0,1,16,0,1,1,0,0,10,2,0,0,0,0,2,10,6,0,1,0,4,4,0,0,0,1,0,0,0,1,6,0,1,4,0,0,5,,,,,2,1,0,0,0,19,18,1,15,3,0,1,0,14,,0,,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,20,5.6,171,,,7,0,0,1,8,4,6,0,0,,,,,,,,,,,,,2.63,2.79,53,,,19,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,7,7,3,160700,2862500,137500,17,1,0,0,,,,,,,,,,,,,,,,,0,,0,20,0,19,0,1,0,,,,,0,,,0,,,0,0,0,0,0,0,20,0,0,0,0,2,1,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0
G11000100015206,110010015206,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,206,,A,,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,192,192,0,0,61,72,72,72,0,0,72,72,0,82,110,152,35,0,0,0,2,1,0,0,2,0,0,0,0,0,191,0,0,0,1,1,1,0,0,0,3,4,2,3,4,5,12,2,3,3,2,3,2,0,1,3,7,14,31,22,14,5,3,31,13,0,1,0,0,0,1,0,7,0,2,3,1,1,1,0,0,2,4,6,12,9,8,2,1,13,8,0,2,4,2,3,3,5,5,2,1,0,1,2,1,0,1,1,3,8,19,13,6,3,2,18,5,0,42.4,45,40.8,9,34,105,44,8,27,78,39,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15,55,1,0,2,16,55,3,5,5,61,54,59,4,2,9,3,0,0,2,7,54,1,6,0,2,0,35,6,1,1,0,0,9,33,21,1,3,0,21,15,5,0,0,3,0,0,0,4,25,1,2,23,1,2,24,2,24,0,0,4,0,0,0,0,72,66,6,56,14,0,2,0,52,,0,,0,4,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,67,5.6,554,521,33,0,0,0,9,30,15,14,3,1,7,29,13,14,3,0,2,1,2,0,0,1,2.4,2.67,192,175,17,71,0,1,66,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,39,11,7,135900,8805000,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,501,1775,0,4,0,72,0,72,0,0,0,66,0,6,0,0,0,0,7,0,7,0,7,0,0,0,0,69,3,0,0,1,12,0,1,3,2,8,0,0,6,0,0,1,0,0,0,0,0
G11000100015207,110010015207,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,207,,A,,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,161,161,0,0,43,52,53,53,0,0,53,52,1,76,85,139,5,0,0,0,0,8,9,0,0,0,0,0,0,0,160,0,0,0,1,1,1,0,0,0,0,5,4,2,1,9,16,3,3,1,1,0,1,3,0,7,13,14,27,7,7,5,3,16,10,3,0,2,0,1,0,5,11,1,1,0,0,0,0,0,0,4,3,5,15,4,4,3,0,10,5,2,0,3,4,1,1,4,5,2,2,1,1,0,1,3,0,3,10,9,12,3,3,2,3,6,5,1,34.1,38.3,30.8,9,36,87,29,6,28,81,24,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,39,0,1,4,20,39,0,2,4,43,38,59,5,7,2,7,0,0,6,0,38,1,4,1,2,0,40,4,1,0,0,0,9,36,15,1,2,0,15,10,2,1,1,0,0,0,0,3,19,0,1,17,0,2,16,2,15,0,1,5,0,0,0,1,52,44,8,47,1,0,4,0,39,,0,,0,8,,0,,0,1,1,0,0,,,,,,,,,0,0,0,0,0,0,0,2,0,0,51,5.6,388,315,63,0,0,10,6,20,5,9,8,4,6,17,4,6,8,3,0,3,1,3,0,1,2.5,3.1,161,134,27,50,1,1,42,1,1,8,0,0,0,0,0,0,0,0,0,0,1,7,26,7,2,126000,5727500,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,501,4012,0,8,0,53,0,52,0,1,0,44,0,8,0,0,0,0,10,10,0,0,10,0,0,0,0,51,2,0,0,8,12,4,3,6,1,1,1,4,2,0,0,0,0,0,1,1,0
G11000100015208,110010015208,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,208,,A,,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,83,83,0,0,21,33,34,34,0,0,34,33,1,44,39,74,7,1,0,0,0,0,0,0,0,0,0,0,0,1,82,0,0,0,1,1,0,1,0,0,0,3,1,1,0,1,3,1,0,0,0,0,0,0,0,2,13,9,12,3,6,1,4,15,8,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,2,6,6,9,1,2,0,2,7,4,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,3,3,2,4,1,2,8,4,0,41.3,38.3,52.5,4,6,50,23,2,5,44,23,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,16,19,0,2,2,8,19,1,5,1,21,18,17,4,6,6,11,0,0,2,4,18,1,2,4,2,0,8,1,0,1,0,0,3,6,5,1,0,0,9,6,0,1,2,4,1,0,0,6,11,1,5,9,1,0,15,0,15,0,0,9,0,0,0,1,33,28,5,31,1,1,0,0,27,,,0,0,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,32,5.6,242,200,34,0,0,8,6,13,7,5,2,0,6,10,7,4,1,0,0,3,0,1,1,0,2.31,2.52,83,68,15,33,0,0,28,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,9,7,2,127800,3475000,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,501,2750,0,5,0,34,0,33,0,1,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,2,5,3,1,0,1,1,0,1,4,0,0,0,0,0,1,0,0
G11000100015210,110010015210,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,2,210,,A,,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,98,98,0,0,26,39,41,41,0,0,41,39,2,47,51,85,8,0,0,0,0,0,0,0,4,0,0,0,0,1,98,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,5,2,5,0,1,0,1,0,0,2,5,10,22,3,5,1,5,16,4,1,1,2,0,0,0,2,2,1,2,0,0,0,0,0,0,1,4,5,14,1,2,0,1,7,1,1,0,0,2,1,1,1,3,1,3,0,1,0,1,0,0,1,1,5,8,2,3,1,4,9,3,0,38.6,37.5,40.6,5,18,54,21,5,12,47,21,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,2,0,3,12,24,0,5,1,26,21,30,1,8,5,7,0,0,4,5,21,1,4,4,0,0,18,2,3,0,0,0,5,18,10,1,1,0,10,4,4,0,0,3,0,0,0,4,12,0,3,10,0,0,13,,,,,5,0,0,0,2,39,35,4,35,2,0,1,1,31,,0,,,4,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,3,38,5.6,318,,,0,0,15,9,15,5,6,4,0,,,,,,,,,,,,,2.2,2.51,98,,,39,0,0,,,,,,,0,0,0,0,0,0,0,0,1,2,14,11,1,141100,4292500,0,29,0,0,0,,,,,,,,,,,,,,,,,0,,0,39,2,37,2,2,0,,,,,0,,,0,,,7,0,0,0,0,0,35,6,0,0,8,4,2,0,0,2,1,1,4,1,0,0,0,0,0,0,0,0
G11000100015301,110010015301,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,3,301,,A,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,74,74,0,0,16,23,24,24,0,0,24,23,1,35,39,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,4,0,4,4,0,0,0,2,2,2,1,2,5,2,1,2,2,0,2,0,1,0,0,3,15,14,4,1,0,2,5,6,0,0,1,1,0,2,2,1,0,2,2,0,1,0,1,0,0,1,5,9,1,1,0,0,3,2,0,2,1,1,1,0,3,1,1,0,0,0,1,0,0,0,0,2,10,5,3,0,0,2,2,4,0,33.3,33.5,33.3,6,15,42,11,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9,16,2,0,1,8,16,0,3,2,16,15,29,1,4,3,6,0,0,2,2,15,0,1,2,1,0,18,0,3,0,0,0,6,15,10,0,0,0,4,3,0,0,1,2,1,0,0,3,5,1,3,4,1,1,7,,,,,4,1,0,0,0,23,19,4,23,0,0,0,0,19,0,0,0,0,4,0,0,0,0,1,1,0,0,,,,,,,,,0,,,0,0,0,0,0,0,3,21,5.6,186,,,7,0,0,4,5,3,6,3,2,,,,,,,,,,,,,3.33,3.22,74,,,22,1,0,,,,,,,0,0,0,0,0,0,0,0,0,2,11,5,1,134100,2652500,137500,19,1,0,0,,,,,,,,,,,,,,,,,0,,0,24,0,23,0,1,0,,,,,0,,,6,,,0,6,0,0,0,0,24,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G11000100015302,110010015302,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,3,302,,A,,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,99,99,0,0,27,36,39,39,0,0,39,36,3,38,61,93,2,0,0,0,0,0,0,0,0,1,0,0,0,3,96,0,0,0,3,3,1,2,0,0,1,3,0,2,2,3,8,0,1,0,1,2,0,0,0,1,4,5,16,9,7,6,6,15,5,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,8,3,3,2,4,7,3,0,1,2,0,1,1,3,7,0,1,0,1,1,0,0,0,0,3,4,8,6,4,4,2,8,2,2,45.6,55,41.9,4,17,56,22,3,15,53,22,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,24,2,0,2,13,24,0,5,4,27,24,32,0,4,5,7,0,0,0,4,24,0,3,4,1,0,16,5,0,0,0,0,4,17,8,0,2,0,10,7,3,0,0,2,0,0,0,4,14,3,2,11,0,1,12,1,11,0,1,5,1,1,0,1,36,31,5,35,1,0,0,0,,,0,0,0,,,0,0,0,1,0,1,0,,,,,,,,,0,0,0,0,0,0,0,0,1,4,34,5.6,286,226,35,7,8,10,4,13,10,7,1,1,4,10,10,6,1,0,0,3,0,1,0,1,2.6,2.75,99,83,16,36,0,0,31,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,11,8,3,140900,3885000,137500,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,501,2750,450,5,1,39,0,36,0,3,0,31,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,8,9,5,1,0,4,2,0,6,3,0,0,0,0,1,0,1,0
G11000100015303,110010015303,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0015,3,303,,A,,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,20,0,0,5,7,7,7,0,0,7,7,0,7,13,14,2,0,0,0,0,0,0,0,0,1,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,2,4,3,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,4,1,0,0,0,1,2,0,37.5,32.5,38.8,1,3,13,3,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,5,3,0,2,1,5,3,7,0,1,1,3,0,0,0,1,3,0,2,1,0,0,2,2,0,0,0,0,1,3,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,2,0,2,0,0,1,0,0,0,0,7,7,0,6,1,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.6,53,53,0,0,0,0,1,2,2,1,1,0,1,2,2,1,1,0,0,0,0,0,0,0,2.75,2.86,20,20,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,175000,1250000,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
