GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLOCKA,AREANAME,CBD,CM5001,CM5002,CM6001,CM6002,CM6003,CM6004
"G11000100020510","1970","District Of Columbia","11","District Of Columbia","001","0020","510","Tract   20 Block 510","1",13,12,13,12,0,0
"G11000100020601","1970","District Of Columbia","11","District Of Columbia","001","0020","601","Tract   20 Block 601","1",19,39,18,37,0,0
"G11000100020602","1970","District Of Columbia","11","District Of Columbia","001","0020","602","Tract   20 Block 602","1",7,7,6,6,0,0
"G11000100020603","1970","District Of Columbia","11","District Of Columbia","001","0020","603","Tract   20 Block 603","1",17,22,12,12,0,0
"G11000100020604","1970","District Of Columbia","11","District Of Columbia","001","0020","604","Tract   20 Block 604","1",10,8,9,5,0,0
"G11000100020605","1970","District Of Columbia","11","District Of Columbia","001","0020","605","Tract   20 Block 605","1",26,38,17,26,0,0
"G11000100020606","1970","District Of Columbia","11","District Of Columbia","001","0020","606","Tract   20 Block 606","1",31,26,12,18,0,0
"G11000100020607","1970","District Of Columbia","11","District Of Columbia","001","0020","607","Tract   20 Block 607","1",15,11,8,5,0,0
"G11000100020608","1970","District Of Columbia","11","District Of Columbia","001","0020","608","Tract   20 Block 608","1",27,16,9,6,3,0
"G11000100020609","1970","District Of Columbia","11","District Of Columbia","001","0020","609","Tract   20 Block 609","1",33,38,17,12,3,5
"G11000100020610","1970","District Of Columbia","11","District Of Columbia","001","0020","610","Tract   20 Block 610","1",22,27,17,25,0,0
"G11000100020611","1970","District Of Columbia","11","District Of Columbia","001","0020","611","Tract   20 Block 611","1",33,41,30,36,0,0
"G11000100020612","1970","District Of Columbia","11","District Of Columbia","001","0020","612","Tract   20 Block 612","1",26,48,24,43,0,0
"G11000100020613","1970","District Of Columbia","11","District Of Columbia","001","0020","613","Tract   20 Block 613","1",36,20,16,19,0,0
"G11000100020614","1970","District Of Columbia","11","District Of Columbia","001","0020","614","Tract   20 Block 614","1",71,112,48,74,1,0
"G11000100020701","1970","District Of Columbia","11","District Of Columbia","001","0020","701","Tract   20 Block 701","1",30,40,23,29,0,0
"G11000100020707","1970","District Of Columbia","11","District Of Columbia","001","0020","707","Tract   20 Block 707","1",18,14,3,5,4,4
"G11000100020709","1970","District Of Columbia","11","District Of Columbia","001","0020","709","Tract   20 Block 709","1",70,88,39,53,0,0
"G11000100020710","1970","District Of Columbia","11","District Of Columbia","001","0020","710","Tract   20 Block 710","1",33,38,10,12,0,0
"G11000100020711","1970","District Of Columbia","11","District Of Columbia","001","0020","711","Tract   20 Block 711","1",54,54,27,31,0,0
"G11000100020714","1970","District Of Columbia","11","District Of Columbia","001","0020","714","Tract   20 Block 714","1",131,141,74,74,0,1
"G11000100020715","1970","District Of Columbia","11","District Of Columbia","001","0020","715","Tract   20 Block 715","1",49,62,25,35,9,5
"G11000100020716","1970","District Of Columbia","11","District Of Columbia","001","0020","716","Tract   20 Block 716","1",55,62,32,35,1,0
"G11000100020717","1970","District Of Columbia","11","District Of Columbia","001","0020","717","Tract   20 Block 717","1",11,9,5,1,2,5
"G11000100020719","1970","District Of Columbia","11","District Of Columbia","001","0020","719","Tract   20 Block 719","1",84,75,45,38,2,6
"G1100010002101102","1970","District Of Columbia","11","District Of Columbia","001","002101","102","Tract   21.01 Block 102","1",76,86,70,71,1,0
"G1100010002101103","1970","District Of Columbia","11","District Of Columbia","001","002101","103","Tract   21.01 Block 103","1",92,96,83,92,0,0
"G1100010002101104","1970","District Of Columbia","11","District Of Columbia","001","002101","104","Tract   21.01 Block 104","1",2,4,2,4,0,0
"G1100010002101105","1970","District Of Columbia","11","District Of Columbia","001","002101","105","Tract   21.01 Block 105","1",88,102,86,97,0,1
"G1100010002101106","1970","District Of Columbia","11","District Of Columbia","001","002101","106","Tract   21.01 Block 106","1",-2,3,,,,
"G1100010002101201","1970","District Of Columbia","11","District Of Columbia","001","002101","201","Tract   21.01 Block 201","1",85,79,77,70,1,0
"G1100010002101203","1970","District Of Columbia","11","District Of Columbia","001","002101","203","Tract   21.01 Block 203","1",113,171,111,165,1,0
"G1100010002101205","1970","District Of Columbia","11","District Of Columbia","001","002101","205","Tract   21.01 Block 205","1",81,95,78,92,0,0
"G1100010002101206","1970","District Of Columbia","11","District Of Columbia","001","002101","206","Tract   21.01 Block 206","1",123,146,117,141,3,2
"G1100010002101207","1970","District Of Columbia","11","District Of Columbia","001","002101","207","Tract   21.01 Block 207","1",153,210,143,193,1,0
"G1100010002101208","1970","District Of Columbia","11","District Of Columbia","001","002101","208","Tract   21.01 Block 208","1",144,200,142,198,0,0
"G1100010002101209","1970","District Of Columbia","11","District Of Columbia","001","002101","209","Tract   21.01 Block 209","1",42,48,42,46,0,0
"G1100010002101301","1970","District Of Columbia","11","District Of Columbia","001","002101","301","Tract   21.01 Block 301","1",113,158,110,155,1,1
"G1100010002101302","1970","District Of Columbia","11","District Of Columbia","001","002101","302","Tract   21.01 Block 302","1",125,138,124,133,1,5
"G1100010002101303","1970","District Of Columbia","11","District Of Columbia","001","002101","303","Tract   21.01 Block 303","1",97,109,97,108,0,1
"G1100010002101304","1970","District Of Columbia","11","District Of Columbia","001","002101","304","Tract   21.01 Block 304","1",96,110,94,105,0,0
"G1100010002101305","1970","District Of Columbia","11","District Of Columbia","001","002101","305","Tract   21.01 Block 305","1",100,112,93,101,0,0
"G1100010002101306","1970","District Of Columbia","11","District Of Columbia","001","002101","306","Tract   21.01 Block 306","1",96,100,94,98,2,1
"G1100010002101401","1970","District Of Columbia","11","District Of Columbia","001","002101","401","Tract   21.01 Block 401","1",72,86,68,81,0,0
"G1100010002101402","1970","District Of Columbia","11","District Of Columbia","001","002101","402","Tract   21.01 Block 402","1",12,19,10,15,0,0
"G1100010002101403","1970","District Of Columbia","11","District Of Columbia","001","002101","403","Tract   21.01 Block 403","1",67,60,49,48,0,0
"G1100010002101404","1970","District Of Columbia","11","District Of Columbia","001","002101","404","Tract   21.01 Block 404","1",90,89,81,80,1,0
"G1100010002101407","1970","District Of Columbia","11","District Of Columbia","001","002101","407","Tract   21.01 Block 407","1",138,151,130,137,1,8
"G1100010002101408","1970","District Of Columbia","11","District Of Columbia","001","002101","408","Tract   21.01 Block 408","1",42,50,42,50,0,0
"G1100010002101409","1970","District Of Columbia","11","District Of Columbia","001","002101","409","Tract   21.01 Block 409","1",49,49,44,41,0,0
"G1100010002101501","1970","District Of Columbia","11","District Of Columbia","001","002101","501","Tract   21.01 Block 501","1",20,29,18,27,0,0
"G1100010002101502","1970","District Of Columbia","11","District Of Columbia","001","002101","502","Tract   21.01 Block 502","1",63,62,62,59,0,0
"G1100010002101503","1970","District Of Columbia","11","District Of Columbia","001","002101","503","Tract   21.01 Block 503","1",139,162,136,158,1,1
"G1100010002101504","1970","District Of Columbia","11","District Of Columbia","001","002101","504","Tract   21.01 Block 504","1",137,164,128,159,0,0
"G1100010002101505","1970","District Of Columbia","11","District Of Columbia","001","002101","505","Tract   21.01 Block 505","1",123,148,114,131,5,5
"G1100010002101506","1970","District Of Columbia","11","District Of Columbia","001","002101","506","Tract   21.01 Block 506","1",-2,4,,,,
"G1100010002101507","1970","District Of Columbia","11","District Of Columbia","001","002101","507","Tract   21.01 Block 507","1",164,234,152,211,6,5
"G1100010002101508","1970","District Of Columbia","11","District Of Columbia","001","002101","508","Tract   21.01 Block 508","1",99,138,90,128,4,1
"G1100010002102101","1970","District Of Columbia","11","District Of Columbia","001","002102","101","Tract   21.02 Block 101","1",13,14,10,8,0,0
"G1100010002102102","1970","District Of Columbia","11","District Of Columbia","001","002102","102","Tract   21.02 Block 102","1",34,52,33,49,0,0
"G1100010002102103","1970","District Of Columbia","11","District Of Columbia","001","002102","103","Tract   21.02 Block 103","1",24,40,21,34,0,0
"G1100010002102104","1970","District Of Columbia","11","District Of Columbia","001","002102","104","Tract   21.02 Block 104","1",41,61,36,53,0,0
"G1100010002102105","1970","District Of Columbia","11","District Of Columbia","001","002102","105","Tract   21.02 Block 105","1",81,93,72,84,0,0
"G1100010002102106","1970","District Of Columbia","11","District Of Columbia","001","002102","106","Tract   21.02 Block 106","1",90,91,87,86,1,0
"G1100010002102201","1970","District Of Columbia","11","District Of Columbia","001","002102","201","Tract   21.02 Block 201","1",53,64,50,59,0,0
"G1100010002102202","1970","District Of Columbia","11","District Of Columbia","001","002102","202","Tract   21.02 Block 202","1",82,92,75,78,3,6
"G1100010002102204","1970","District Of Columbia","11","District Of Columbia","001","002102","204","Tract   21.02 Block 204","1",9,13,7,8,0,0
"G1100010002102206","1970","District Of Columbia","11","District Of Columbia","001","002102","206","Tract   21.02 Block 206","1",10,42,1,9,0,0
"G1100010002102207","1970","District Of Columbia","11","District Of Columbia","001","002102","207","Tract   21.02 Block 207","1",34,33,25,17,1,3
"G1100010002102208","1970","District Of Columbia","11","District Of Columbia","001","002102","208","Tract   21.02 Block 208","1",7,5,7,5,0,0
"G1100010002102209","1970","District Of Columbia","11","District Of Columbia","001","002102","209","Tract   21.02 Block 209","1",83,133,65,103,0,1
"G1100010002102210","1970","District Of Columbia","11","District Of Columbia","001","002102","210","Tract   21.02 Block 210","1",126,158,109,134,0,1
"G1100010002102301","1970","District Of Columbia","11","District Of Columbia","001","002102","301","Tract   21.02 Block 301","1",104,120,98,113,3,2
"G1100010002102302","1970","District Of Columbia","11","District Of Columbia","001","002102","302","Tract   21.02 Block 302","1",78,106,77,105,0,0
"G1100010002102303","1970","District Of Columbia","11","District Of Columbia","001","002102","303","Tract   21.02 Block 303","1",82,94,76,86,1,1
"G1100010002102304","1970","District Of Columbia","11","District Of Columbia","001","002102","304","Tract   21.02 Block 304","1",60,73,53,60,0,0
"G1100010002102305","1970","District Of Columbia","11","District Of Columbia","001","002102","305","Tract   21.02 Block 305","1",38,40,38,40,0,0
"G1100010002102306","1970","District Of Columbia","11","District Of Columbia","001","002102","306","Tract   21.02 Block 306","1",118,178,113,173,2,2
"G1100010002102401","1970","District Of Columbia","11","District Of Columbia","001","002102","401","Tract   21.02 Block 401","1",40,69,37,59,2,5
"G1100010002102402","1970","District Of Columbia","11","District Of Columbia","001","002102","402","Tract   21.02 Block 402","1",62,60,61,57,0,0
"G1100010002102404","1970","District Of Columbia","11","District Of Columbia","001","002102","404","Tract   21.02 Block 404","1",20,24,20,24,0,0
"G1100010002102406","1970","District Of Columbia","11","District Of Columbia","001","002102","406","Tract   21.02 Block 406","1",73,80,70,75,0,0
"G1100010002102407","1970","District Of Columbia","11","District Of Columbia","001","002102","407","Tract   21.02 Block 407","1",59,82,53,75,0,0
"G1100010002102408","1970","District Of Columbia","11","District Of Columbia","001","002102","408","Tract   21.02 Block 408","1",25,34,24,31,0,2
"G1100010002102409","1970","District Of Columbia","11","District Of Columbia","001","002102","409","Tract   21.02 Block 409","1",155,165,154,164,0,0
"G1100010002102501","1970","District Of Columbia","11","District Of Columbia","001","002102","501","Tract   21.02 Block 501","1",59,77,57,74,0,1
"G1100010002102503","1970","District Of Columbia","11","District Of Columbia","001","002102","503","Tract   21.02 Block 503","1",90,118,90,114,0,0
"G1100010002102504","1970","District Of Columbia","11","District Of Columbia","001","002102","504","Tract   21.02 Block 504","1",110,125,105,119,0,0
"G1100010002102505","1970","District Of Columbia","11","District Of Columbia","001","002102","505","Tract   21.02 Block 505","1",21,25,20,22,0,0
"G1100010002102506","1970","District Of Columbia","11","District Of Columbia","001","002102","506","Tract   21.02 Block 506","1",78,94,76,91,0,0
"G1100010002102601","1970","District Of Columbia","11","District Of Columbia","001","002102","601","Tract   21.02 Block 601","1",11,21,10,19,0,0
"G1100010002102602","1970","District Of Columbia","11","District Of Columbia","001","002102","602","Tract   21.02 Block 602","1",71,93,70,89,0,0
"G1100010002102603","1970","District Of Columbia","11","District Of Columbia","001","002102","603","Tract   21.02 Block 603","1",150,166,146,162,1,0
"G1100010002102604","1970","District Of Columbia","11","District Of Columbia","001","002102","604","Tract   21.02 Block 604","1",112,151,111,146,0,1
"G1100010002102605","1970","District Of Columbia","11","District Of Columbia","001","002102","605","Tract   21.02 Block 605","1",106,135,102,131,0,0
"G1100010002102606","1970","District Of Columbia","11","District Of Columbia","001","002102","606","Tract   21.02 Block 606","1",77,81,69,71,1,2
"G1100010002102607","1970","District Of Columbia","11","District Of Columbia","001","002102","607","Tract   21.02 Block 607","1",18,11,17,10,0,0
"G1100010002102608","1970","District Of Columbia","11","District Of Columbia","001","002102","608","Tract   21.02 Block 608","1",98,97,89,89,3,1
"G1100010002102701","1970","District Of Columbia","11","District Of Columbia","001","002102","701","Tract   21.02 Block 701","1",87,100,83,93,1,1
"G1100010002102702","1970","District Of Columbia","11","District Of Columbia","001","002102","702","Tract   21.02 Block 702","1",39,49,36,45,0,0
"G1100010002102703","1970","District Of Columbia","11","District Of Columbia","001","002102","703","Tract   21.02 Block 703","1",19,20,19,20,0,0
"G1100010002102704","1970","District Of Columbia","11","District Of Columbia","001","002102","704","Tract   21.02 Block 704","1",29,40,25,37,2,2
"G1100010002102705","1970","District Of Columbia","11","District Of Columbia","001","002102","705","Tract   21.02 Block 705","1",25,45,24,42,0,0
"G1100010002102706","1970","District Of Columbia","11","District Of Columbia","001","002102","706","Tract   21.02 Block 706","1",13,15,13,12,0,0
"G1100010002102707","1970","District Of Columbia","11","District Of Columbia","001","002102","707","Tract   21.02 Block 707","1",52,79,49,76,0,0
"G1100010002102708","1970","District Of Columbia","11","District Of Columbia","001","002102","708","Tract   21.02 Block 708","1",96,92,88,79,1,0
"G1100010002201101","1970","District Of Columbia","11","District Of Columbia","001","002201","101","Tract   22.01 Block 101","1",133,162,125,149,0,1
"G1100010002201102","1970","District Of Columbia","11","District Of Columbia","001","002201","102","Tract   22.01 Block 102","1",65,79,61,75,0,1
"G1100010002201103","1970","District Of Columbia","11","District Of Columbia","001","002201","103","Tract   22.01 Block 103","1",68,77,68,77,0,0
"G1100010002201104","1970","District Of Columbia","11","District Of Columbia","001","002201","104","Tract   22.01 Block 104","1",77,86,74,80,0,0
"G1100010002201105","1970","District Of Columbia","11","District Of Columbia","001","002201","105","Tract   22.01 Block 105","1",128,168,124,165,0,1
"G1100010002201107","1970","District Of Columbia","11","District Of Columbia","001","002201","107","Tract   22.01 Block 107","1",80,98,77,95,0,0
"G1100010002201108","1970","District Of Columbia","11","District Of Columbia","001","002201","108","Tract   22.01 Block 108","1",37,44,35,42,0,0
"G1100010002201109","1970","District Of Columbia","11","District Of Columbia","001","002201","109","Tract   22.01 Block 109","1",97,94,94,91,0,0
"G1100010002201110","1970","District Of Columbia","11","District Of Columbia","001","002201","110","Tract   22.01 Block 110","1",96,100,91,97,1,0
"G1100010002201111","1970","District Of Columbia","11","District Of Columbia","001","002201","111","Tract   22.01 Block 111","1",37,51,37,51,0,0
"G1100010002201201","1970","District Of Columbia","11","District Of Columbia","001","002201","201","Tract   22.01 Block 201","1",67,88,67,85,0,0
"G1100010002201203","1970","District Of Columbia","11","District Of Columbia","001","002201","203","Tract   22.01 Block 203","1",99,97,96,90,0,0
"G1100010002201205","1970","District Of Columbia","11","District Of Columbia","001","002201","205","Tract   22.01 Block 205","1",106,132,103,124,0,0
"G1100010002201208","1970","District Of Columbia","11","District Of Columbia","001","002201","208","Tract   22.01 Block 208","1",47,81,44,73,0,0
"G1100010002201301","1970","District Of Columbia","11","District Of Columbia","001","002201","301","Tract   22.01 Block 301","1",93,128,86,120,5,4
"G1100010002201302","1970","District Of Columbia","11","District Of Columbia","001","002201","302","Tract   22.01 Block 302","1",74,83,72,81,0,0
"G1100010002201303","1970","District Of Columbia","11","District Of Columbia","001","002201","303","Tract   22.01 Block 303","1",69,92,66,89,0,1
"G1100010002201304","1970","District Of Columbia","11","District Of Columbia","001","002201","304","Tract   22.01 Block 304","1",105,113,103,108,0,0
"G1100010002201305","1970","District Of Columbia","11","District Of Columbia","001","002201","305","Tract   22.01 Block 305","1",134,143,131,138,0,2
"G1100010002201306","1970","District Of Columbia","11","District Of Columbia","001","002201","306","Tract   22.01 Block 306","1",74,90,71,85,0,0
"G1100010002201401","1970","District Of Columbia","11","District Of Columbia","001","002201","401","Tract   22.01 Block 401","1",54,71,48,64,0,0
"G1100010002201402","1970","District Of Columbia","11","District Of Columbia","001","002201","402","Tract   22.01 Block 402","1",62,83,60,80,1,0
"G1100010002201403","1970","District Of Columbia","11","District Of Columbia","001","002201","403","Tract   22.01 Block 403","1",91,99,86,89,0,2
"G1100010002201404","1970","District Of Columbia","11","District Of Columbia","001","002201","404","Tract   22.01 Block 404","1",155,183,153,178,1,2
"G1100010002201405","1970","District Of Columbia","11","District Of Columbia","001","002201","405","Tract   22.01 Block 405","1",54,78,54,76,0,0
"G1100010002201406","1970","District Of Columbia","11","District Of Columbia","001","002201","406","Tract   22.01 Block 406","1",71,86,67,75,0,0
"G1100010002201407","1970","District Of Columbia","11","District Of Columbia","001","002201","407","Tract   22.01 Block 407","1",-2,4,,,,
"G1100010002202101","1970","District Of Columbia","11","District Of Columbia","001","002202","101","Tract   22.02 Block 101","1",55,56,54,54,1,1
"G1100010002202102","1970","District Of Columbia","11","District Of Columbia","001","002202","102","Tract   22.02 Block 102","1",191,277,172,255,0,0
"G1100010002202103","1970","District Of Columbia","11","District Of Columbia","001","002202","103","Tract   22.02 Block 103","1",16,40,8,16,0,0
"G1100010002202104","1970","District Of Columbia","11","District Of Columbia","001","002202","104","Tract   22.02 Block 104","1",32,48,31,45,0,0
"G1100010002202105","1970","District Of Columbia","11","District Of Columbia","001","002202","105","Tract   22.02 Block 105","1",125,149,110,141,0,0
"G1100010002202106","1970","District Of Columbia","11","District Of Columbia","001","002202","106","Tract   22.02 Block 106","1",27,39,27,37,0,0
"G1100010002202107","1970","District Of Columbia","11","District Of Columbia","001","002202","107","Tract   22.02 Block 107","1",49,90,5,3,0,0
"G1100010002202108","1970","District Of Columbia","11","District Of Columbia","001","002202","108","Tract   22.02 Block 108","1",77,94,72,88,0,0
"G1100010002202201","1970","District Of Columbia","11","District Of Columbia","001","002202","201","Tract   22.02 Block 201","1",34,49,34,48,0,0
"G1100010002202202","1970","District Of Columbia","11","District Of Columbia","001","002202","202","Tract   22.02 Block 202","1",121,151,111,139,0,0
"G1100010002202204","1970","District Of Columbia","11","District Of Columbia","001","002202","204","Tract   22.02 Block 204","1",49,63,46,58,0,0
"G1100010002202205","1970","District Of Columbia","11","District Of Columbia","001","002202","205","Tract   22.02 Block 205","1",103,109,90,97,4,1
"G1100010002202206","1970","District Of Columbia","11","District Of Columbia","001","002202","206","Tract   22.02 Block 206","1",91,128,90,126,0,0
"G1100010002202207","1970","District Of Columbia","11","District Of Columbia","001","002202","207","Tract   22.02 Block 207","1",98,115,97,114,0,0
"G1100010002202301","1970","District Of Columbia","11","District Of Columbia","001","002202","301","Tract   22.02 Block 301","1",128,119,124,114,0,1
"G1100010002202302","1970","District Of Columbia","11","District Of Columbia","001","002202","302","Tract   22.02 Block 302","1",120,127,120,126,0,0
"G1100010002202303","1970","District Of Columbia","11","District Of Columbia","001","002202","303","Tract   22.02 Block 303","1",88,114,88,111,0,0
"G1100010002202304","1970","District Of Columbia","11","District Of Columbia","001","002202","304","Tract   22.02 Block 304","1",101,109,96,99,0,0
"G1100010002202306","1970","District Of Columbia","11","District Of Columbia","001","002202","306","Tract   22.02 Block 306","1",49,44,45,40,0,0
"G1100010002202307","1970","District Of Columbia","11","District Of Columbia","001","002202","307","Tract   22.02 Block 307","1",40,63,37,55,1,2
"G1100010002202308","1970","District Of Columbia","11","District Of Columbia","001","002202","308","Tract   22.02 Block 308","1",90,105,88,101,0,0
"G1100010002301101","1970","District Of Columbia","11","District Of Columbia","001","002301","101","Tract   23.01 Block 101","1",60,56,58,53,0,0
"G1100010002301102","1970","District Of Columbia","11","District Of Columbia","001","002301","102","Tract   23.01 Block 102","1",80,95,75,92,0,0
"G1100010002301103","1970","District Of Columbia","11","District Of Columbia","001","002301","103","Tract   23.01 Block 103","1",108,122,99,114,0,2
"G1100010002301104","1970","District Of Columbia","11","District Of Columbia","001","002301","104","Tract   23.01 Block 104","1",150,158,141,147,0,0
"G1100010002301105","1970","District Of Columbia","11","District Of Columbia","001","002301","105","Tract   23.01 Block 105","1",67,80,54,66,0,0
"G1100010002301106","1970","District Of Columbia","11","District Of Columbia","001","002301","106","Tract   23.01 Block 106","1",85,92,74,85,0,0
"G1100010002301201","1970","District Of Columbia","11","District Of Columbia","001","002301","201","Tract   23.01 Block 201","1",93,105,85,97,0,1
"G1100010002301202","1970","District Of Columbia","11","District Of Columbia","001","002301","202","Tract   23.01 Block 202","1",88,97,86,96,0,0
"G1100010002301203","1970","District Of Columbia","11","District Of Columbia","001","002301","203","Tract   23.01 Block 203","1",70,76,54,60,2,2
"G1100010002301204","1970","District Of Columbia","11","District Of Columbia","001","002301","204","Tract   23.01 Block 204","1",71,92,69,88,1,0
"G1100010002301205","1970","District Of Columbia","11","District Of Columbia","001","002301","205","Tract   23.01 Block 205","1",72,107,70,104,0,1
"G1100010002301206","1970","District Of Columbia","11","District Of Columbia","001","002301","206","Tract   23.01 Block 206","1",57,71,54,70,1,1
"G1100010002301207","1970","District Of Columbia","11","District Of Columbia","001","002301","207","Tract   23.01 Block 207","1",62,73,60,71,0,0
"G1100010002301208","1970","District Of Columbia","11","District Of Columbia","001","002301","208","Tract   23.01 Block 208","1",27,35,25,30,0,0
"G1100010002301209","1970","District Of Columbia","11","District Of Columbia","001","002301","209","Tract   23.01 Block 209","1",95,123,92,114,0,0
"G1100010002301301","1970","District Of Columbia","11","District Of Columbia","001","002301","301","Tract   23.01 Block 301","1",55,75,54,73,0,1
"G1100010002301303","1970","District Of Columbia","11","District Of Columbia","001","002301","303","Tract   23.01 Block 303","1",110,140,110,140,0,0
"G1100010002301305","1970","District Of Columbia","11","District Of Columbia","001","002301","305","Tract   23.01 Block 305","1",18,23,18,22,0,0
"G1100010002301306","1970","District Of Columbia","11","District Of Columbia","001","002301","306","Tract   23.01 Block 306","1",72,78,68,75,0,0
"G1100010002301307","1970","District Of Columbia","11","District Of Columbia","001","002301","307","Tract   23.01 Block 307","1",48,38,48,38,0,0
"G1100010002301308","1970","District Of Columbia","11","District Of Columbia","001","002301","308","Tract   23.01 Block 308","1",55,71,54,70,1,0
"G1100010002301401","1970","District Of Columbia","11","District Of Columbia","001","002301","401","Tract   23.01 Block 401","1",66,90,65,88,1,1
"G1100010002301403","1970","District Of Columbia","11","District Of Columbia","001","002301","403","Tract   23.01 Block 403","1",9,13,9,12,0,0
"G1100010002301404","1970","District Of Columbia","11","District Of Columbia","001","002301","404","Tract   23.01 Block 404","1",52,51,43,47,0,0
"G1100010002301405","1970","District Of Columbia","11","District Of Columbia","001","002301","405","Tract   23.01 Block 405","1",51,64,50,63,0,0
"G1100010002301406","1970","District Of Columbia","11","District Of Columbia","001","002301","406","Tract   23.01 Block 406","1",22,39,21,36,0,0
"G1100010002301407","1970","District Of Columbia","11","District Of Columbia","001","002301","407","Tract   23.01 Block 407","1",164,189,159,183,0,0
"G1100010002302101","1970","District Of Columbia","11","District Of Columbia","001","002302","101","Tract   23.02 Block 101","1",2635,106,207,6,7,0
"G1100010002302104","1970","District Of Columbia","11","District Of Columbia","001","002302","104","Tract   23.02 Block 104","1",105,253,31,36,2,8
"G11000100024101","1970","District Of Columbia","11","District Of Columbia","001","0024","101","Tract   24 Block 101","1",77,79,77,79,0,0
"G11000100024102","1970","District Of Columbia","11","District Of Columbia","001","0024","102","Tract   24 Block 102","1",112,115,110,112,2,0
"G11000100024103","1970","District Of Columbia","11","District Of Columbia","001","0024","103","Tract   24 Block 103","1",35,40,30,34,0,0
"G11000100024104","1970","District Of Columbia","11","District Of Columbia","001","0024","104","Tract   24 Block 104","1",40,49,33,41,4,4
"G11000100024105","1970","District Of Columbia","11","District Of Columbia","001","0024","105","Tract   24 Block 105","1",58,54,54,52,0,0
"G11000100024106","1970","District Of Columbia","11","District Of Columbia","001","0024","106","Tract   24 Block 106","1",57,61,55,59,0,0
"G11000100024107","1970","District Of Columbia","11","District Of Columbia","001","0024","107","Tract   24 Block 107","1",11,14,11,14,0,0
"G11000100024201","1970","District Of Columbia","11","District Of Columbia","001","0024","201","Tract   24 Block 201","1",80,108,76,105,0,0
"G11000100024205","1970","District Of Columbia","11","District Of Columbia","001","0024","205","Tract   24 Block 205","1",49,68,49,66,0,0
"G11000100024206","1970","District Of Columbia","11","District Of Columbia","001","0024","206","Tract   24 Block 206","1",78,94,72,84,0,0
"G11000100024207","1970","District Of Columbia","11","District Of Columbia","001","0024","207","Tract   24 Block 207","1",31,26,30,22,0,0
"G11000100024208","1970","District Of Columbia","11","District Of Columbia","001","0024","208","Tract   24 Block 208","1",52,50,49,46,2,1
"G11000100024210","1970","District Of Columbia","11","District Of Columbia","001","0024","210","Tract   24 Block 210","1",38,38,38,31,0,0
"G11000100024301","1970","District Of Columbia","11","District Of Columbia","001","0024","301","Tract   24 Block 301","1",73,106,68,101,1,2
"G11000100024302","1970","District Of Columbia","11","District Of Columbia","001","0024","302","Tract   24 Block 302","1",101,156,100,155,0,1
"G11000100024303","1970","District Of Columbia","11","District Of Columbia","001","0024","303","Tract   24 Block 303","1",64,80,63,75,0,2
"G11000100024306","1970","District Of Columbia","11","District Of Columbia","001","0024","306","Tract   24 Block 306","1",38,72,36,67,0,0
"G11000100024308","1970","District Of Columbia","11","District Of Columbia","001","0024","308","Tract   24 Block 308","1",120,122,119,115,1,6
"G11000100024309","1970","District Of Columbia","11","District Of Columbia","001","0024","309","Tract   24 Block 309","1",65,75,61,69,0,0
"G11000100024311","1970","District Of Columbia","11","District Of Columbia","001","0024","311","Tract   24 Block 311","1",46,71,46,71,0,0
"G11000100024401","1970","District Of Columbia","11","District Of Columbia","001","0024","401","Tract   24 Block 401","1",116,125,111,118,0,0
"G11000100024403","1970","District Of Columbia","11","District Of Columbia","001","0024","403","Tract   24 Block 403","1",95,105,94,105,0,0
"G11000100024404","1970","District Of Columbia","11","District Of Columbia","001","0024","404","Tract   24 Block 404","1",61,56,60,56,0,0
"G11000100024405","1970","District Of Columbia","11","District Of Columbia","001","0024","405","Tract   24 Block 405","1",65,94,65,93,0,0
"G11000100024406","1970","District Of Columbia","11","District Of Columbia","001","0024","406","Tract   24 Block 406","1",36,49,33,45,3,3
"G11000100024407","1970","District Of Columbia","11","District Of Columbia","001","0024","407","Tract   24 Block 407","1",20,23,20,23,0,0
"G11000100024408","1970","District Of Columbia","11","District Of Columbia","001","0024","408","Tract   24 Block 408","1",133,155,132,152,0,0
"G11000100024501","1970","District Of Columbia","11","District Of Columbia","001","0024","501","Tract   24 Block 501","1",152,158,146,154,0,0
"G11000100024502","1970","District Of Columbia","11","District Of Columbia","001","0024","502","Tract   24 Block 502","1",85,121,83,117,0,1
"G11000100024504","1970","District Of Columbia","11","District Of Columbia","001","0024","504","Tract   24 Block 504","1",118,150,111,143,0,0
"G11000100024505","1970","District Of Columbia","11","District Of Columbia","001","0024","505","Tract   24 Block 505","1",23,45,21,42,0,0
"G11000100024506","1970","District Of Columbia","11","District Of Columbia","001","0024","506","Tract   24 Block 506","1",29,28,28,26,0,0
"G11000100024507","1970","District Of Columbia","11","District Of Columbia","001","0024","507","Tract   24 Block 507","1",79,91,77,86,0,0
"G11000100024508","1970","District Of Columbia","11","District Of Columbia","001","0024","508","Tract   24 Block 508","1",68,98,66,96,0,1
"G1100010002501101","1970","District Of Columbia","11","District Of Columbia","001","002501","101","Tract   25.01 Block 101","1",51,54,51,54,0,0
"G1100010002501104","1970","District Of Columbia","11","District Of Columbia","001","002501","104","Tract   25.01 Block 104","1",112,154,104,149,2,2
"G1100010002501105","1970","District Of Columbia","11","District Of Columbia","001","002501","105","Tract   25.01 Block 105","1",37,43,37,43,0,0
