GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLOCKA,AREANAME,CBD,CM5001,CM5002,CM6001,CM6002,CM6003,CM6004
"G11000100001510","1970","District Of Columbia","11","District Of Columbia","001","0001","510","Tract    1 Block 510","1",28,122,2,3,0,0
"G11000100001511","1970","District Of Columbia","11","District Of Columbia","001","0001","511","Tract    1 Block 511","1",108,148,1,7,0,2
"G11000100001512","1970","District Of Columbia","11","District Of Columbia","001","0001","512","Tract    1 Block 512","1",65,105,1,8,0,1
"G11000100001513","1970","District Of Columbia","11","District Of Columbia","001","0001","513","Tract    1 Block 513","1",14,28,1,0,0,0
"G11000100002102","1970","District Of Columbia","11","District Of Columbia","001","0002","102","Tract    2 Block 102","1",81,114,5,5,7,8
"G11000100002103","1970","District Of Columbia","11","District Of Columbia","001","0002","103","Tract    2 Block 103","1",32,48,0,1,3,0
"G11000100002104","1970","District Of Columbia","11","District Of Columbia","001","0002","104","Tract    2 Block 104","1",24,31,0,1,3,1
"G11000100002105","1970","District Of Columbia","11","District Of Columbia","001","0002","105","Tract    2 Block 105","1",35,48,2,1,0,1
"G11000100002106","1970","District Of Columbia","11","District Of Columbia","001","0002","106","Tract    2 Block 106","1",32,49,0,0,0,0
"G11000100002107","1970","District Of Columbia","11","District Of Columbia","001","0002","107","Tract    2 Block 107","1",77,80,1,3,2,2
"G11000100002108","1970","District Of Columbia","11","District Of Columbia","001","0002","108","Tract    2 Block 108","1",14,18,0,0,0,0
"G11000100002109","1970","District Of Columbia","11","District Of Columbia","001","0002","109","Tract    2 Block 109","1",44,74,0,0,1,0
"G11000100002110","1970","District Of Columbia","11","District Of Columbia","001","0002","110","Tract    2 Block 110","1",36,75,0,0,0,0
"G11000100002201","1970","District Of Columbia","11","District Of Columbia","001","0002","201","Tract    2 Block 201","1",29,42,0,0,1,2
"G11000100002202","1970","District Of Columbia","11","District Of Columbia","001","0002","202","Tract    2 Block 202","1",14,13,0,0,0,0
"G11000100002203","1970","District Of Columbia","11","District Of Columbia","001","0002","203","Tract    2 Block 203","1",32,35,0,0,0,0
"G11000100002204","1970","District Of Columbia","11","District Of Columbia","001","0002","204","Tract    2 Block 204","1",38,44,0,0,1,0
"G11000100002205","1970","District Of Columbia","11","District Of Columbia","001","0002","205","Tract    2 Block 205","1",69,68,0,0,0,0
"G11000100002206","1970","District Of Columbia","11","District Of Columbia","001","0002","206","Tract    2 Block 206","1",31,31,0,0,0,0
"G11000100002207","1970","District Of Columbia","11","District Of Columbia","001","0002","207","Tract    2 Block 207","1",52,71,0,1,0,0
"G11000100002208","1970","District Of Columbia","11","District Of Columbia","001","0002","208","Tract    2 Block 208","1",75,63,1,1,1,0
"G11000100002209","1970","District Of Columbia","11","District Of Columbia","001","0002","209","Tract    2 Block 209","1",34,40,0,0,0,0
"G11000100002301","1970","District Of Columbia","11","District Of Columbia","001","0002","301","Tract    2 Block 301","1",48,71,0,2,2,1
"G11000100002302","1970","District Of Columbia","11","District Of Columbia","001","0002","302","Tract    2 Block 302","1",10,18,0,0,0,0
"G11000100002303","1970","District Of Columbia","11","District Of Columbia","001","0002","303","Tract    2 Block 303","1",31,36,0,0,0,1
"G11000100002304","1970","District Of Columbia","11","District Of Columbia","001","0002","304","Tract    2 Block 304","1",52,59,0,1,0,0
"G11000100002305","1970","District Of Columbia","11","District Of Columbia","001","0002","305","Tract    2 Block 305","1",22,29,1,1,1,0
"G11000100002306","1970","District Of Columbia","11","District Of Columbia","001","0002","306","Tract    2 Block 306","1",40,40,0,0,0,0
"G11000100002401","1970","District Of Columbia","11","District Of Columbia","001","0002","401","Tract    2 Block 401","1",-2,1,,,,
"G11000100002402","1970","District Of Columbia","11","District Of Columbia","001","0002","402","Tract    2 Block 402","1",6,0,6,0,0,0
"G11000100002404","1970","District Of Columbia","11","District Of Columbia","001","0002","404","Tract    2 Block 404","1",37,28,0,0,0,0
"G11000100002408","1970","District Of Columbia","11","District Of Columbia","001","0002","408","Tract    2 Block 408","1",19,13,0,0,0,0
"G11000100002501","1970","District Of Columbia","11","District Of Columbia","001","0002","501","Tract    2 Block 501","1",39,34,0,0,1,0
"G11000100002502","1970","District Of Columbia","11","District Of Columbia","001","0002","502","Tract    2 Block 502","1",35,31,1,0,3,3
"G11000100002503","1970","District Of Columbia","11","District Of Columbia","001","0002","503","Tract    2 Block 503","1",25,32,0,0,0,0
"G11000100002504","1970","District Of Columbia","11","District Of Columbia","001","0002","504","Tract    2 Block 504","1",39,57,0,1,1,0
"G11000100002505","1970","District Of Columbia","11","District Of Columbia","001","0002","505","Tract    2 Block 505","1",56,89,0,3,0,3
"G11000100002506","1970","District Of Columbia","11","District Of Columbia","001","0002","506","Tract    2 Block 506","1",48,50,0,0,1,0
"G11000100002507","1970","District Of Columbia","11","District Of Columbia","001","0002","507","Tract    2 Block 507","1",38,60,0,1,0,0
"G11000100002601","1970","District Of Columbia","11","District Of Columbia","001","0002","601","Tract    2 Block 601","1",35,75,0,1,0,0
"G11000100002602","1970","District Of Columbia","11","District Of Columbia","001","0002","602","Tract    2 Block 602","1",17,56,0,0,0,0
"G11000100002603","1970","District Of Columbia","11","District Of Columbia","001","0002","603","Tract    2 Block 603","1",16,24,0,0,0,0
"G11000100002604","1970","District Of Columbia","11","District Of Columbia","001","0002","604","Tract    2 Block 604","1",41,41,1,1,0,1
"G11000100002605","1970","District Of Columbia","11","District Of Columbia","001","0002","605","Tract    2 Block 605","1",14,10,0,0,0,0
"G11000100002606","1970","District Of Columbia","11","District Of Columbia","001","0002","606","Tract    2 Block 606","1",33,49,0,0,0,0
"G11000100002607","1970","District Of Columbia","11","District Of Columbia","001","0002","607","Tract    2 Block 607","1",1891,786,31,6,32,2
"G11000100003101","1970","District Of Columbia","11","District Of Columbia","001","0003","101","Tract    3 Block 101","1",90,100,0,0,3,5
"G11000100003102","1970","District Of Columbia","11","District Of Columbia","001","0003","102","Tract    3 Block 102","1",48,53,0,2,1,4
"G11000100003103","1970","District Of Columbia","11","District Of Columbia","001","0003","103","Tract    3 Block 103","1",45,29,0,0,2,0
"G11000100003104","1970","District Of Columbia","11","District Of Columbia","001","0003","104","Tract    3 Block 104","1",34,53,0,0,0,0
"G11000100003107","1970","District Of Columbia","11","District Of Columbia","001","0003","107","Tract    3 Block 107","1",76,104,0,2,1,0
"G11000100003108","1970","District Of Columbia","11","District Of Columbia","001","0003","108","Tract    3 Block 108","1",59,71,0,0,2,1
"G11000100003201","1970","District Of Columbia","11","District Of Columbia","001","0003","201","Tract    3 Block 201","1",71,78,0,0,1,2
"G11000100003202","1970","District Of Columbia","11","District Of Columbia","001","0003","202","Tract    3 Block 202","1",39,62,0,0,0,1
"G11000100003203","1970","District Of Columbia","11","District Of Columbia","001","0003","203","Tract    3 Block 203","1",28,62,0,0,0,0
"G11000100003204","1970","District Of Columbia","11","District Of Columbia","001","0003","204","Tract    3 Block 204","1",33,57,0,2,1,0
"G11000100003206","1970","District Of Columbia","11","District Of Columbia","001","0003","206","Tract    3 Block 206","1",0,27,0,0,0,0
"G11000100003301","1970","District Of Columbia","11","District Of Columbia","001","0003","301","Tract    3 Block 301","1",26,37,0,0,0,1
"G11000100003303","1970","District Of Columbia","11","District Of Columbia","001","0003","303","Tract    3 Block 303","1",31,46,0,0,2,0
"G11000100003304","1970","District Of Columbia","11","District Of Columbia","001","0003","304","Tract    3 Block 304","1",23,37,0,0,0,0
"G11000100003305","1970","District Of Columbia","11","District Of Columbia","001","0003","305","Tract    3 Block 305","1",58,83,1,1,0,0
"G11000100003306","1970","District Of Columbia","11","District Of Columbia","001","0003","306","Tract    3 Block 306","1",202,293,4,2,0,1
"G11000100003401","1970","District Of Columbia","11","District Of Columbia","001","0003","401","Tract    3 Block 401","1",14,20,3,1,0,0
"G11000100003402","1970","District Of Columbia","11","District Of Columbia","001","0003","402","Tract    3 Block 402","1",92,114,1,2,3,5
"G11000100003403","1970","District Of Columbia","11","District Of Columbia","001","0003","403","Tract    3 Block 403","1",60,72,1,0,0,0
"G11000100003404","1970","District Of Columbia","11","District Of Columbia","001","0003","404","Tract    3 Block 404","1",59,72,0,0,1,2
"G11000100003405","1970","District Of Columbia","11","District Of Columbia","001","0003","405","Tract    3 Block 405","1",103,111,1,0,5,6
