name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
Westminster Church Living,222,"400 Eye Street SW
 Washington, DC 20024","400 Eye Street SW, Washington, DC 20024",400 Eye Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1042/Westminster_Church_Living,38.87899078,-77.01823322,0,1,,0,1,1
2715 M Street NW,36,"2715 M Street NW
 Washington, DC 20007","2715 M Street NW, Washington, DC 20007",2715 M Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/1104/2715_M_Street_NW,38.9054046,-77.0565584,1,1,1,1,,
Urby,478,"1331 Yards Pl SE
 Washington, DC 20003","1331 Yards Pl SE, Washington, DC 20003",1331 Yards Pl SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/490/Urby,38.874284,-77.004975,1,1,1,1,,
Workforce Townhouses,26,"1004-1018 Howard Road SE
 Washington, DC 20020","1004-1018 Howard Road SE, Washington, DC 20020",1004-1018 Howard Road SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/976/Workforce_Townhouses,38.86293633,-76.99604596,0.9,1,1,0.9,,
Shalom House Redevelopment,73,"1801 4th Street NE
 Washington, DC 20002","1801 4th Street NE, Washington, DC 20002",1801 4th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1175/Shalom_House_Redevelopment,38.914948,-77.000462,1,1,1,1,,
2816-2818 Georgia Avenue NW,10,"2816-2818 Georgia Avenue NW
 Washington, DC 20001","2816-2818 Georgia Avenue NW, Washington, DC 20001",2816-2818 Georgia Avenue NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1173/28162818_Georgia_Avenue_NW,38.92644515,-77.02313691,0.9,1,1,0.9,,
2914 Sherman Avenue NW,18,"2914 Sherman Avenue NW
 Washington, DC 20001","2914 Sherman Avenue NW, Washington, DC 20001",2914 Sherman Avenue NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/292/2914_Sherman_Avenue_NW,38.92723815,-77.026356,1,1,1,1,,
Airdome,50,"1101 H Street NE
 Washington, DC 20002","1101 H Street NE, Washington, DC 20002",1101 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/860/Airdome,38.900118,-76.991368,1,1,1,1,,
1714-1716 14th Street NW,8,"1714-1716 14th Street NW
 Washington, DC 20009","1714-1716 14th Street NW, Washington, DC 20009",1714-1716 14th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/746/17141716_14th_Street_NW,38.91320265,-77.03229377,0.7,1,1,0.7,1,1
4801 Sargent Road NE,166,"4801 Sargent Road NE
 Washington, DC 20017","4801 Sargent Road NE, Washington, DC 20017",4801 Sargent Road NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/1284/4801_Sargent_Road_NE,38.9483287,-76.98601196,1,1,1,1,,
Accolade,255,"1425 New York Avenue NW
 Washington, DC 20005","1425 New York Avenue NW, Washington, DC 20005",1425 New York Avenue NW,Washington,District of Columbia,20005,https://dc.urbanturf.com/pipeline/1016/Accolade,38.89929184,-77.03248359,1,1,1,1,,
Kenilworth Courts Redevelopment,530,"4500 Quarles Street NE
 Washington, DC 20019","4500 Quarles Street NE, Washington, DC 20019",4500 Quarles Street NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/586/Kenilworth_Courts_Redevelopment,38.9122953,-76.93652298,1,1,1,1,,
