blk1990gj,blk1990ge,blk2010gj,blk2010ge,parea,weight
G11000100001101,11001000100101,G11000100001001000,110010001001000,1,1
G11000100001102,11001000100102,G11000100001001001,110010001001001,1,1
G11000100001103,11001000100103,G11000100001001005,110010001001005,1,1
G11000100001104,11001000100104,G11000100001001006,110010001001006,1,1
G11000100001105,11001000100105,G11000100001001007,110010001001007,1,1
G11000100001106,11001000100106,G11000100001001004,110010001001004,1,1
G11000100001107,11001000100107,G11000100001001002,110010001001002,1,1
G11000100001108,11001000100108,G11000100001001011,110010001001011,1,1
G11000100001109,11001000100109,G11000100001001010,110010001001010,1,1
G11000100001110,11001000100110,G11000100001001003,110010001001003,1,1
G11000100001111,11001000100111,G11000100001001009,110010001001009,1,1
G11000100001112,11001000100112,G11000100001001008,110010001001008,1,1
G11000100001201,11001000100201,G11000100001002000,110010001002000,1,1
G11000100001202,11001000100202,G11000100001002001,110010001002001,0.9182000566,0.877034358
G11000100001202,11001000100202,G11000100001002009,110010001002009,0.0817999434,0.122965642
G11000100001203,11001000100203,G11000100001002003,110010001002003,1,1
G11000100001204,11001000100204,G11000100001002002,110010001002002,1,1
G11000100001205,11001000100205,G11000100001002004,110010001002004,0.8186307636,1
G11000100001205,11001000100205,G11000100001002005,110010001002005,0.1813692364,0
G11000100001207,11001000100207,G11000100001002008,110010001002008,1,1
G11000100001208,11001000100208,G11000100001002007,110010001002007,1,1
G11000100001209,11001000100209,G11000100001002006,110010001002006,1,1
G11000100001301,11001000100301,G11000100001004027,110010001004027,0,0
G11000100001301,11001000100301,G11000100001004028,110010001004028,0,0
G11000100001301,11001000100301,G11000100001004029,110010001004029,0.7249307169,0.7249307169
G11000100001301,11001000100301,G11000100001004030,110010001004030,0.0332891104,0.0332891104
G11000100001301,11001000100301,G11000100001004031,110010001004031,0.0882861343,0.0882861343
G11000100001301,11001000100301,G11000100001004032,110010001004032,0.0326324055,0.0326324055
G11000100001301,11001000100301,G11000100001004033,110010001004033,0.104346926,0.104346926
G11000100001301,11001000100301,G11000100001004034,110010001004034,0,0
G11000100001301,11001000100301,G11000100001004035,110010001004035,0,0
G11000100001301,11001000100301,G11000100001004050,110010001004050,0.016514707,0.016514707
G11000100001302,11001000100302,G11000100001004010,110010001004010,1,1
G11000100001302,11001000100302,G11000100001004026,110010001004026,0,0
G11000100001303,11001000100303,G11000100001004011,110010001004011,1,1
G11000100001303,11001000100303,G11000100001004025,110010001004025,0,0
G11000100001304,11001000100304,G11000100001004012,110010001004012,0.3459104949,0.6788740262
G11000100001304,11001000100304,G11000100001004017,110010001004017,0.5962275262,0.1566632368
G11000100001304,11001000100304,G11000100001004018,110010001004018,0.00523896,0
G11000100001304,11001000100304,G11000100001004019,110010001004019,0,0
G11000100001304,11001000100304,G11000100001004023,110010001004023,0.0526230189,0.164462737
G11000100001305,11001000100305,G11000100001004013,110010001004013,0.5397407644,1
G11000100001305,11001000100305,G11000100001004016,110010001004016,0.3673149302,0
G11000100001305,11001000100305,G11000100001004020,110010001004020,0,0
G11000100001305,11001000100305,G11000100001004021,110010001004021,0.0929443054,0
G11000100001306,11001000100306,G11000100001004016,110010001004016,0.798060966,0.5306138589
G11000100001306,11001000100306,G11000100001004020,110010001004020,0,0
G11000100001306,11001000100306,G11000100001004021,110010001004021,0.201939034,0.4693861411
G11000100001307,11001000100307,G11000100001004022,110010001004022,0.4095987696,0.1352585608
G11000100001307,11001000100307,G11000100001004044,110010001004044,0.5904012304,0.8647414392
G11000100001308,11001000100308,G11000100001004018,110010001004018,0.0208186779,0
G11000100001308,11001000100308,G11000100001004019,110010001004019,0,0
G11000100001308,11001000100308,G11000100001004023,110010001004023,0.3834316304,1
G11000100001308,11001000100308,G11000100001004024,110010001004024,0.5957496918,0
G11000100001309,11001000100309,G11000100001004011,110010001004011,1,1
G11000100001309,11001000100309,G11000100001004025,110010001004025,0,0
G11000100001310,11001000100310,G11000100001004037,110010001004037,0.966011217,1
G11000100001310,11001000100310,G11000100001004038,110010001004038,0.033988783,0
G11000100001311,11001000100311,G11000100001004027,110010001004027,0,0
G11000100001311,11001000100311,G11000100001004028,110010001004028,0,0
G11000100001311,11001000100311,G11000100001004036,110010001004036,0.8679739831,0.8679739831
G11000100001311,11001000100311,G11000100001004039,110010001004039,0.027181827,0.027181827
G11000100001311,11001000100311,G11000100001004050,110010001004050,0.1048441899,0.1048441899
G11000100001312,11001000100312,G11000100001004040,110010001004040,0.0846010319,0.9018077178
G11000100001312,11001000100312,G11000100001004041,110010001004041,0.3440302933,0.0981922822
G11000100001312,11001000100312,G11000100001004042,110010001004042,0.5593876275,0
G11000100001312,11001000100312,G11000100001004043,110010001004043,0.0056169806,0
G11000100001312,11001000100312,G11000100001004045,110010001004045,0.0063640667,0
G11000100001313,11001000100313,G11000100001004022,110010001004022,0.4095987696,0.0877293238
G11000100001313,11001000100313,G11000100001004044,110010001004044,0.5904012304,0.9122706762
G11000100001314,11001000100314,G11000100001004048,110010001004048,1,1
G11000100001401,11001000100401,G11000100001004004,110010001004004,0.5525932682,0.880952381
G11000100001401,11001000100401,G11000100001004014,110010001004014,0.3262551474,0
G11000100001401,11001000100401,G11000100001004015,110010001004015,0.1211515844,0.119047619
G11000100001402,11001000100402,G11000100001004005,110010001004005,1,1
G11000100001403,11001000100403,G11000100001004001,110010001004001,1,1
G11000100001404,11001000100404,G11000100001004009,110010001004009,1,1
G11000100001405,11001000100405,G11000100001004008,110010001004008,1,1
G11000100001406,11001000100406,G11000100001004007,110010001004007,1,1
G11000100001407,11001000100407,G11000100001004000,110010001004000,1,1
G11000100001408,11001000100408,G11000100001004006,110010001004006,1,1
G11000100001409,11001000100409,G11000100001004002,110010001004002,1,1
G11000100001410,11001000100410,G11000100001004003,110010001004003,1,1
G11000100001501,11001000100501,G11000100001003012,110010001003012,1,1
G11000100001502,11001000100502,G11000100001003002,110010001003002,1,1
G11000100001503,11001000100503,G11000100001003010,110010001003010,1,1
G11000100001504,11001000100504,G11000100001003009,110010001003009,1,1
G11000100001505,11001000100505,G11000100001003008,110010001003008,1,1
G11000100001506,11001000100506,G11000100001003007,110010001003007,1,1
G11000100001507,11001000100507,G11000100001003006,110010001003006,1,1
G11000100001508,11001000100508,G11000100001003005,110010001003005,1,1
G11000100001509,11001000100509,G11000100001003004,110010001003004,1,1
G11000100001510,11001000100510,G11000100001003003,110010001003003,1,1
G11000100001511,11001000100511,G11000100001003002,110010001003002,1,1
G11000100001512,11001000100512,G11000100001003001,110010001003001,1,1
G11000100001513,11001000100513,G11000100001003000,110010001003000,1,1
G11000100001514,11001000100514,G11000100001003011,110010001003011,1,1
G1100010000201101,11001000201101,G11000100002011000,110010002011000,0.1997460114,0.0516662751
G1100010000201101,11001000201101,G11000100002011001,110010002011001,0.6764244006,0.9476097566
G1100010000201101,11001000201101,G11000100002011002,110010002011002,0.123829588,0.0007239683
G1100010000202101,11001000202101,G11000100002021000,110010002021000,1,1
G1100010000202102,11001000202102,G11000100002021001,110010002021001,1,1
G1100010000202103,11001000202103,G11000100002021002,110010002021002,1,1
G1100010000202104,11001000202104,G11000100002021003,110010002021003,1,1
G1100010000202105,11001000202105,G11000100002021004,110010002021004,1,1
G1100010000202106,11001000202106,G11000100002021005,110010002021005,1,1
G1100010000202107,11001000202107,G11000100002021010,110010002021010,0.6613751221,0.5802197802
G1100010000202107,11001000202107,G11000100002021011,110010002021011,0.3386248779,0.4197802198
G1100010000202108,11001000202108,G11000100002021006,110010002021006,1,1
G1100010000202109,11001000202109,G11000100002021007,110010002021007,1,1
G1100010000202110,11001000202110,G11000100002021008,110010002021008,1,1
G1100010000202111,11001000202111,G11000100002021009,110010002021009,1,1
G1100010000202201,11001000202201,G11000100002022000,110010002022000,1,1
G1100010000202202,11001000202202,G11000100002022001,110010002022001,1,1
G1100010000202203,11001000202203,G11000100002022002,110010002022002,1,1
G1100010000202204,11001000202204,G11000100002022003,110010002022003,1,1
G1100010000202205,11001000202205,G11000100002022004,110010002022004,1,1
G1100010000202206,11001000202206,G11000100002022005,110010002022005,1,1
G1100010000202207,11001000202207,G11000100002022006,110010002022006,1,1
G1100010000202208,11001000202208,G11000100002022007,110010002022007,1,1
G1100010000202209,11001000202209,G11000100002022008,110010002022008,1,1
G1100010000202301,11001000202301,G11000100002023000,110010002023000,1,1
G1100010000202302,11001000202302,G11000100002023001,110010002023001,1,1
G1100010000202303,11001000202303,G11000100002023006,110010002023006,1,1
G1100010000202304,11001000202304,G11000100002023007,110010002023007,1,1
G1100010000202305,11001000202305,G11000100002023008,110010002023008,1,1
G1100010000202306,11001000202306,G11000100002023009,110010002023009,0.3834385965,0.2831858407
G1100010000202306,11001000202306,G11000100002023010,110010002023010,0.6165614035,0.7168141593
G1100010000202401,11001000202401,G11000100002024024,110010002024024,0,0
G1100010000202401,11001000202401,G11000100002024026,110010002024026,0.9370822406,0.9237689958
G1100010000202401,11001000202401,G11000100002024031,110010002024031,0.0629177594,0.0762310042
G1100010000202402,11001000202402,G11000100002024024,110010002024024,0,0
G1100010000202402,11001000202402,G11000100002024025,110010002024025,1,1
G1100010000202403,11001000202403,G11000100002024024,110010002024024,0,0
G1100010000202403,11001000202403,G11000100002024025,110010002024025,1,1
G1100010000202404,11001000202404,G11000100002024023,110010002024023,1,1
G1100010000202405,11001000202405,G11000100002024024,110010002024024,0,0
G1100010000202405,11001000202405,G11000100002024026,110010002024026,0.4160227438,0.1313959221
G1100010000202405,11001000202405,G11000100002024031,110010002024031,0.5839772562,0.8686040779
G1100010000202406,11001000202406,G11000100002024027,110010002024027,1,1
G1100010000202407,11001000202407,G11000100002024028,110010002024028,1,1
G1100010000202408,11001000202408,G11000100002024029,110010002024029,1,1
G1100010000202409,11001000202409,G11000100002024030,110010002024030,0.5711848139,0.4561403509
G1100010000202409,11001000202409,G11000100002024032,110010002024032,0.4288151861,0.5438596491
G1100010000202410,11001000202410,G11000100002024021,110010002024021,0.9629152875,0.9629152875
G1100010000202410,11001000202410,G11000100002024022,110010002024022,0.0370234155,0.0370234155
G1100010000202410,11001000202410,G11000100002024033,110010002024033,0.000061297,0.000061297
G1100010000202501,11001000202501,G11000100002023002,110010002023002,1,1
G1100010000202502,11001000202502,G11000100002023003,110010002023003,1,1
G1100010000202503,11001000202503,G11000100002023004,110010002023004,1,1
G1100010000202504,11001000202504,G11000100002023005,110010002023005,1,1
G1100010000202505,11001000202505,G11000100002023011,110010002023011,1,1
G1100010000202506,11001000202506,G11000100002023012,110010002023012,1,1
G1100010000202507,11001000202507,G11000100002023013,110010002023013,1,1
G1100010000202601,11001000202601,G11000100002024000,110010002024000,1,1
G1100010000202602,11001000202602,G11000100002024001,110010002024001,1,1
G1100010000202603,11001000202603,G11000100002024002,110010002024002,1,1
G1100010000202604,11001000202604,G11000100002024003,110010002024003,1,1
G1100010000202605,11001000202605,G11000100002024004,110010002024004,1,1
G1100010000202606,11001000202606,G11000100002024005,110010002024005,1,1
G1100010000202607,11001000202607,G11000100002024006,110010002024006,1,1
G1100010000202608,11001000202608,G11000100002024007,110010002024007,1,1
G1100010000202609,11001000202609,G11000100002024006,110010002024006,0.144654768,1
G1100010000202609,11001000202609,G11000100002024008,110010002024008,0.0878647025,0
G1100010000202609,11001000202609,G11000100002024009,110010002024009,0,0
G1100010000202609,11001000202609,G11000100002024010,110010002024010,0,0
G1100010000202609,11001000202609,G11000100002024011,110010002024011,0.1121164627,0
G1100010000202609,11001000202609,G11000100002024012,110010002024012,0.5884646484,0
G1100010000202609,11001000202609,G11000100002024013,110010002024013,0.0047152145,0
G1100010000202609,11001000202609,G11000100002024014,110010002024014,0.0171021972,0
G1100010000202609,11001000202609,G11000100002024015,110010002024015,0,0
