GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALZKE001,ALZKE002,ALZKE003,AL1LE001,AL1LE002,AL1LE003,AL1LE004,AL1LE005,AL1LE006,AL1LE007,AL1LE008,NAME_M,ALZKM001,ALZKM002,ALZKM003,AL1LM001,AL1LM002,AL1LM003,AL1LM004,AL1LM005,AL1LM006,AL1LM007,AL1LM008
"G11000100078043","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007804","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078043",,,"Block Group 3, Census Tract 78.04, District of Columbia, District of Columbia",364,291,73,186,143,26,0,26,0,117,43,"Block Group 3, Census Tract 78.04, District of Columbia, District of Columbia",87,94,59,83,67,31,12,31,12,64,44
"G11000100078061","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007806","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078061",,,"Block Group 1, Census Tract 78.06, District of Columbia, District of Columbia",624,541,83,336,197,21,0,21,0,176,139,"Block Group 1, Census Tract 78.06, District of Columbia, District of Columbia",106,113,66,98,81,18,12,18,12,80,76
"G11000100078062","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007806","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078062",,,"Block Group 2, Census Tract 78.06, District of Columbia, District of Columbia",552,512,40,171,159,31,22,9,0,128,12,"Block Group 2, Census Tract 78.06, District of Columbia, District of Columbia",116,111,39,67,67,33,30,14,12,59,11
"G11000100078071","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007807","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078071",,,"Block Group 1, Census Tract 78.07, District of Columbia, District of Columbia",544,468,76,186,107,10,0,10,0,97,79,"Block Group 1, Census Tract 78.07, District of Columbia, District of Columbia",69,77,47,51,43,14,12,14,12,42,41
"G11000100078072","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007807","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078072",,,"Block Group 2, Census Tract 78.07, District of Columbia, District of Columbia",405,362,43,105,62,6,4,2,0,56,43,"Block Group 2, Census Tract 78.07, District of Columbia, District of Columbia",78,73,36,46,30,8,6,6,12,29,35
"G11000100078081","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007808","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078081",,,"Block Group 1, Census Tract 78.08, District of Columbia, District of Columbia",685,624,61,251,215,25,11,14,13,177,36,"Block Group 1, Census Tract 78.08, District of Columbia, District of Columbia",131,134,69,110,107,27,17,21,20,105,39
"G11000100078082","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007808","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078082",,,"Block Group 2, Census Tract 78.08, District of Columbia, District of Columbia",677,511,166,164,143,18,8,10,0,125,21,"Block Group 2, Census Tract 78.08, District of Columbia, District of Columbia",124,131,98,81,83,21,15,15,12,82,21
"G11000100078083","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007808","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078083",,,"Block Group 3, Census Tract 78.08, District of Columbia, District of Columbia",344,313,31,301,237,11,11,0,0,226,64,"Block Group 3, Census Tract 78.08, District of Columbia, District of Columbia",127,124,50,125,127,28,28,12,12,124,46
"G11000100078091","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007809","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078091",,,"Block Group 1, Census Tract 78.09, District of Columbia, District of Columbia",924,804,120,472,335,61,35,26,0,274,137,"Block Group 1, Census Tract 78.09, District of Columbia, District of Columbia",111,130,68,105,98,48,34,32,12,91,74
"G11000100078092","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"007809","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010078092",,,"Block Group 2, Census Tract 78.09, District of Columbia, District of Columbia",462,383,79,224,186,25,0,25,0,161,38,"Block Group 2, Census Tract 78.09, District of Columbia, District of Columbia",109,100,58,75,70,28,12,28,12,72,29
