GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALZKE001,ALZKE002,ALZKE003,AL1LE001,AL1LE002,AL1LE003,AL1LE004,AL1LE005,AL1LE006,AL1LE007,AL1LE008,NAME_M,ALZKM001,ALZKM002,ALZKM003,AL1LM001,AL1LM002,AL1LM003,AL1LM004,AL1LM005,AL1LM006,AL1LM007,AL1LM008
"G11000100088042","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008804","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010088042",,,"Block Group 2, Census Tract 88.04, District of Columbia, District of Columbia",854,688,166,149,143,6,0,6,0,137,6,"Block Group 2, Census Tract 88.04, District of Columbia, District of Columbia",106,113,74,64,64,12,12,12,12,65,11
"G11000100089031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008903","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010089031",,,"Block Group 1, Census Tract 89.03, District of Columbia, District of Columbia",1191,1060,131,285,220,86,43,43,0,134,65,"Block Group 1, Census Tract 89.03, District of Columbia, District of Columbia",150,145,76,83,82,58,45,42,12,63,43
"G11000100089032","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008903","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010089032",,,"Block Group 2, Census Tract 89.03, District of Columbia, District of Columbia",594,469,125,39,39,0,0,0,0,39,0,"Block Group 2, Census Tract 89.03, District of Columbia, District of Columbia",133,126,71,54,54,12,12,12,12,54,12
"G11000100089041","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008904","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010089041",,,"Block Group 1, Census Tract 89.04, District of Columbia, District of Columbia",1632,1462,170,50,40,0,0,0,0,40,10,"Block Group 1, Census Tract 89.04, District of Columbia, District of Columbia",115,148,86,34,33,12,12,12,12,33,16
"G11000100089042","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008904","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010089042",,,"Block Group 2, Census Tract 89.04, District of Columbia, District of Columbia",443,340,103,116,102,20,11,9,0,82,14,"Block Group 2, Census Tract 89.04, District of Columbia, District of Columbia",112,103,66,58,55,23,18,15,12,51,24
"G11000100090001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009000","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010090001",,,"Block Group 1, Census Tract 90, District of Columbia, District of Columbia",1338,1285,53,525,525,48,22,26,0,477,0,"Block Group 1, Census Tract 90, District of Columbia, District of Columbia",140,158,82,133,133,48,38,33,12,134,12
"G11000100090002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009000","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010090002",,,"Block Group 2, Census Tract 90, District of Columbia, District of Columbia",889,889,0,537,386,64,38,26,0,322,151,"Block Group 2, Census Tract 90, District of Columbia, District of Columbia",123,123,12,119,112,49,42,30,12,115,98
"G11000100091021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009102","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010091021",,,"Block Group 1, Census Tract 91.02, District of Columbia, District of Columbia",366,334,32,242,205,11,0,11,0,194,37,"Block Group 1, Census Tract 91.02, District of Columbia, District of Columbia",88,84,36,71,74,16,12,16,12,74,27
"G11000100091022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009102","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010091022",,,"Block Group 2, Census Tract 91.02, District of Columbia, District of Columbia",1245,1140,105,313,282,38,12,26,0,244,31,"Block Group 2, Census Tract 91.02, District of Columbia, District of Columbia",120,119,64,80,80,35,20,28,12,78,27
"G11000100091023","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009102","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010091023",,,"Block Group 3, Census Tract 91.02, District of Columbia, District of Columbia",595,528,67,135,72,18,0,18,0,54,63,"Block Group 3, Census Tract 91.02, District of Columbia, District of Columbia",103,97,53,52,45,21,12,21,12,43,37
"G11000100092011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009201","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010092011",,,"Block Group 1, Census Tract 92.01, District of Columbia, District of Columbia",1340,1148,192,378,324,68,17,51,0,256,54,"Block Group 1, Census Tract 92.01, District of Columbia, District of Columbia",49,75,73,70,67,35,16,28,12,56,23
"G11000100092031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009203","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010092031",,,"Block Group 1, Census Tract 92.03, District of Columbia, District of Columbia",466,466,0,198,159,42,0,42,0,117,39,"Block Group 1, Census Tract 92.03, District of Columbia, District of Columbia",96,96,12,79,80,39,12,39,12,77,32
"G11000100092032","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009203","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010092032",,,"Block Group 2, Census Tract 92.03, District of Columbia, District of Columbia",877,818,59,458,373,49,0,49,0,324,85,"Block Group 2, Census Tract 92.03, District of Columbia, District of Columbia",95,108,54,108,111,47,12,47,12,113,51
"G11000100092041","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009204","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010092041",,,"Block Group 1, Census Tract 92.04, District of Columbia, District of Columbia",470,432,38,258,221,26,26,0,0,195,37,"Block Group 1, Census Tract 92.04, District of Columbia, District of Columbia",96,92,43,78,78,32,32,12,12,83,35
"G11000100092042","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009204","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010092042",,,"Block Group 2, Census Tract 92.04, District of Columbia, District of Columbia",989,916,73,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 92.04, District of Columbia, District of Columbia",111,122,61,12,12,12,12,12,12,12,12
"G11000100093011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009301","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010093011",,,"Block Group 1, Census Tract 93.01, District of Columbia, District of Columbia",272,272,0,268,186,15,0,15,19,152,82,"Block Group 1, Census Tract 93.01, District of Columbia, District of Columbia",72,72,12,74,71,23,12,23,29,67,46
"G11000100093012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009301","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010093012",,,"Block Group 2, Census Tract 93.01, District of Columbia, District of Columbia",423,379,44,281,211,100,22,78,0,111,70,"Block Group 2, Census Tract 93.01, District of Columbia, District of Columbia",78,86,50,71,62,55,25,48,12,46,40
"G11000100093013","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009301","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010093013",,,"Block Group 3, Census Tract 93.01, District of Columbia, District of Columbia",292,263,29,206,166,94,23,71,0,72,40,"Block Group 3, Census Tract 93.01, District of Columbia, District of Columbia",74,71,45,70,69,60,38,48,12,39,26
"G11000100093014","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009301","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010093014",,,"Block Group 4, Census Tract 93.01, District of Columbia, District of Columbia",292,281,11,272,185,20,0,20,0,165,87,"Block Group 4, Census Tract 93.01, District of Columbia, District of Columbia",56,59,17,59,73,24,12,24,12,69,56
"G11000100093021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009302","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010093021",,,"Block Group 1, Census Tract 93.02, District of Columbia, District of Columbia",638,600,38,348,268,75,19,56,0,193,80,"Block Group 1, Census Tract 93.02, District of Columbia, District of Columbia",51,63,40,39,38,37,27,36,12,42,34
"G11000100094001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010094001",,,"Block Group 1, Census Tract 94, District of Columbia, District of Columbia",344,277,67,233,166,20,0,20,0,146,67,"Block Group 1, Census Tract 94, District of Columbia, District of Columbia",77,80,58,66,70,22,12,22,12,68,40
"G11000100094002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010094002",,,"Block Group 2, Census Tract 94, District of Columbia, District of Columbia",547,496,51,343,291,72,0,72,0,219,52,"Block Group 2, Census Tract 94, District of Columbia, District of Columbia",89,97,56,80,77,43,12,43,12,70,35
"G11000100094003","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009400","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010094003",,,"Block Group 3, Census Tract 94, District of Columbia, District of Columbia",610,576,34,497,381,33,0,33,0,348,116,"Block Group 3, Census Tract 94, District of Columbia, District of Columbia",89,82,43,81,79,28,12,28,12,76,70
"G11000100094004","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009400","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010094004",,,"Block Group 4, Census Tract 94, District of Columbia, District of Columbia",331,305,26,288,156,35,0,35,0,121,132,"Block Group 4, Census Tract 94, District of Columbia, District of Columbia",86,77,41,79,69,28,12,28,12,64,60
"G11000100095011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009501","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095011",,,"Block Group 1, Census Tract 95.01, District of Columbia, District of Columbia",1008,988,20,194,128,10,0,10,0,118,66,"Block Group 1, Census Tract 95.01, District of Columbia, District of Columbia",139,138,30,67,70,14,12,14,12,68,33
"G11000100095012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009501","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095012",,,"Block Group 2, Census Tract 95.01, District of Columbia, District of Columbia",332,295,37,11,11,0,0,0,11,0,0,"Block Group 2, Census Tract 95.01, District of Columbia, District of Columbia",90,87,43,20,20,12,12,12,20,12,12
"G11000100095013","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009501","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095013",,,"Block Group 3, Census Tract 95.01, District of Columbia, District of Columbia",651,615,36,143,100,0,0,0,0,100,43,"Block Group 3, Census Tract 95.01, District of Columbia, District of Columbia",123,114,39,58,53,12,12,12,12,53,30
"G11000100095031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009503","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095031",,,"Block Group 1, Census Tract 95.03, District of Columbia, District of Columbia",585,534,51,426,276,17,0,17,0,259,150,"Block Group 1, Census Tract 95.03, District of Columbia, District of Columbia",64,74,43,71,71,18,12,18,12,72,51
"G11000100095032","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009503","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095032",,,"Block Group 2, Census Tract 95.03, District of Columbia, District of Columbia",303,284,19,220,127,22,10,12,0,105,93,"Block Group 2, Census Tract 95.03, District of Columbia, District of Columbia",60,67,29,58,57,24,15,18,12,50,56
"G11000100095033","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009503","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095033",,,"Block Group 3, Census Tract 95.03, District of Columbia, District of Columbia",380,300,80,299,256,63,0,63,0,193,43,"Block Group 3, Census Tract 95.03, District of Columbia, District of Columbia",57,57,56,58,64,42,12,42,12,57,34
"G11000100095041","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009504","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095041",,,"Block Group 1, Census Tract 95.04, District of Columbia, District of Columbia",871,767,104,357,244,29,8,21,0,215,113,"Block Group 1, Census Tract 95.04, District of Columbia, District of Columbia",100,108,85,106,89,27,14,24,12,90,66
"G11000100095042","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009504","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095042",,,"Block Group 2, Census Tract 95.04, District of Columbia, District of Columbia",521,496,25,449,335,34,17,17,0,301,114,"Block Group 2, Census Tract 95.04, District of Columbia, District of Columbia",102,93,39,95,87,32,27,16,12,88,64
"G11000100095051","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009505","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095051",,,"Block Group 1, Census Tract 95.05, District of Columbia, District of Columbia",302,282,20,282,176,24,10,14,0,152,106,"Block Group 1, Census Tract 95.05, District of Columbia, District of Columbia",74,73,32,73,65,29,16,24,12,62,49
"G11000100095052","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009505","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095052",,,"Block Group 2, Census Tract 95.05, District of Columbia, District of Columbia",457,334,123,334,219,0,0,0,9,210,115,"Block Group 2, Census Tract 95.05, District of Columbia, District of Columbia",91,76,81,76,63,12,12,12,13,65,67
"G11000100095053","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009505","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095053",,,"Block Group 3, Census Tract 95.05, District of Columbia, District of Columbia",842,740,102,366,200,39,0,39,0,161,166,"Block Group 3, Census Tract 95.05, District of Columbia, District of Columbia",119,129,81,107,94,40,12,40,12,98,62
"G11000100095071","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009507","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095071",,,"Block Group 1, Census Tract 95.07, District of Columbia, District of Columbia",604,592,12,483,325,16,9,7,9,300,158,"Block Group 1, Census Tract 95.07, District of Columbia, District of Columbia",35,41,18,49,61,19,16,10,10,64,52
"G11000100095081","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009508","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095081",,,"Block Group 1, Census Tract 95.08, District of Columbia, District of Columbia",752,577,175,19,19,0,0,0,0,19,0,"Block Group 1, Census Tract 95.08, District of Columbia, District of Columbia",134,137,96,21,21,12,12,12,12,21,12
"G11000100095082","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009508","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095082",,,"Block Group 2, Census Tract 95.08, District of Columbia, District of Columbia",531,531,0,447,297,11,0,11,0,286,150,"Block Group 2, Census Tract 95.08, District of Columbia, District of Columbia",88,88,12,87,91,19,12,19,12,90,51
"G11000100095083","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009508","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095083",,,"Block Group 3, Census Tract 95.08, District of Columbia, District of Columbia",516,460,56,136,98,0,0,0,0,98,38,"Block Group 3, Census Tract 95.08, District of Columbia, District of Columbia",114,116,60,48,46,12,12,12,12,46,32
"G11000100095091","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009509","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095091",,,"Block Group 1, Census Tract 95.09, District of Columbia, District of Columbia",434,434,0,397,309,12,0,12,0,297,88,"Block Group 1, Census Tract 95.09, District of Columbia, District of Columbia",88,88,12,81,90,18,12,18,12,90,49
"G11000100095092","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009509","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095092",,,"Block Group 2, Census Tract 95.09, District of Columbia, District of Columbia",457,457,0,412,249,0,0,0,0,249,163,"Block Group 2, Census Tract 95.09, District of Columbia, District of Columbia",107,107,12,111,100,12,12,12,12,100,71
"G11000100095093","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009509","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010095093",,,"Block Group 3, Census Tract 95.09, District of Columbia, District of Columbia",422,397,25,336,280,12,0,12,0,268,56,"Block Group 3, Census Tract 95.09, District of Columbia, District of Columbia",102,112,41,100,102,17,12,17,12,103,48
"G11000100096011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009601","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096011",,,"Block Group 1, Census Tract 96.01, District of Columbia, District of Columbia",926,833,93,294,165,25,5,20,0,140,129,"Block Group 1, Census Tract 96.01, District of Columbia, District of Columbia",23,65,58,72,51,18,8,16,12,47,60
"G11000100096021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009602","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096021",,,"Block Group 1, Census Tract 96.02, District of Columbia, District of Columbia",1132,1107,25,303,293,35,14,21,0,258,10,"Block Group 1, Census Tract 96.02, District of Columbia, District of Columbia",175,179,40,90,88,28,21,31,12,85,17
"G11000100096022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009602","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096022",,,"Block Group 2, Census Tract 96.02, District of Columbia, District of Columbia",805,752,53,17,17,0,0,0,0,17,0,"Block Group 2, Census Tract 96.02, District of Columbia, District of Columbia",147,152,60,30,30,12,12,12,12,30,12
"G11000100096031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009603","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096031",,,"Block Group 1, Census Tract 96.03, District of Columbia, District of Columbia",940,840,100,173,151,11,11,0,0,140,22,"Block Group 1, Census Tract 96.03, District of Columbia, District of Columbia",110,127,71,61,59,16,16,12,12,58,20
"G11000100096032","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009603","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096032",,,"Block Group 2, Census Tract 96.03, District of Columbia, District of Columbia",341,323,18,265,209,12,6,6,0,197,56,"Block Group 2, Census Tract 96.03, District of Columbia, District of Columbia",87,88,28,89,104,14,10,9,12,103,37
"G11000100096033","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009603","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096033",,,"Block Group 3, Census Tract 96.03, District of Columbia, District of Columbia",564,529,35,68,39,0,0,0,0,39,29,"Block Group 3, Census Tract 96.03, District of Columbia, District of Columbia",116,116,39,71,60,12,12,12,12,60,34
"G11000100096041","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009604","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096041",,,"Block Group 1, Census Tract 96.04, District of Columbia, District of Columbia",560,552,8,303,241,40,25,15,0,201,62,"Block Group 1, Census Tract 96.04, District of Columbia, District of Columbia",68,69,9,57,59,23,18,15,12,60,28
"G11000100096042","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009604","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010096042",,,"Block Group 2, Census Tract 96.04, District of Columbia, District of Columbia",461,425,36,312,254,44,44,0,0,210,58,"Block Group 2, Census Tract 96.04, District of Columbia, District of Columbia",73,79,29,69,82,37,37,12,12,80,33
"G11000100097001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009700","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010097001",,,"Block Group 1, Census Tract 97, District of Columbia, District of Columbia",1024,856,168,218,140,34,34,0,0,106,78,"Block Group 1, Census Tract 97, District of Columbia, District of Columbia",113,118,79,82,63,44,44,12,12,49,45
"G11000100097002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009700","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010097002",,,"Block Group 2, Census Tract 97, District of Columbia, District of Columbia",285,285,0,139,139,37,0,37,11,91,0,"Block Group 2, Census Tract 97, District of Columbia, District of Columbia",114,114,12,88,88,58,12,58,17,69,12
"G11000100098011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009801","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098011",,,"Block Group 1, Census Tract 98.01, District of Columbia, District of Columbia",926,845,81,158,105,12,7,5,0,93,53,"Block Group 1, Census Tract 98.01, District of Columbia, District of Columbia",33,59,46,53,51,12,10,7,12,50,29
"G11000100098021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009802","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098021",,,"Block Group 1, Census Tract 98.02, District of Columbia, District of Columbia",335,276,59,20,18,0,0,0,0,18,2,"Block Group 1, Census Tract 98.02, District of Columbia, District of Columbia",64,66,33,25,25,12,12,12,12,25,5
"G11000100098022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009802","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098022",,,"Block Group 2, Census Tract 98.02, District of Columbia, District of Columbia",529,457,72,138,112,51,46,5,0,61,26,"Block Group 2, Census Tract 98.02, District of Columbia, District of Columbia",66,69,42,56,52,33,33,8,12,37,19
"G11000100098031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009803","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098031",,,"Block Group 1, Census Tract 98.03, District of Columbia, District of Columbia",469,417,52,70,33,23,15,8,0,10,37,"Block Group 1, Census Tract 98.03, District of Columbia, District of Columbia",100,99,40,41,31,28,23,12,12,15,32
"G11000100098032","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009803","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098032",,,"Block Group 2, Census Tract 98.03, District of Columbia, District of Columbia",379,293,86,60,34,0,0,0,0,34,26,"Block Group 2, Census Tract 98.03, District of Columbia, District of Columbia",104,107,48,43,36,12,12,12,12,36,29
"G11000100098033","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009803","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098033",,,"Block Group 3, Census Tract 98.03, District of Columbia, District of Columbia",601,557,44,76,67,12,12,0,0,55,9,"Block Group 3, Census Tract 98.03, District of Columbia, District of Columbia",101,101,42,38,38,20,20,12,12,40,13
"G11000100098041","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009804","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098041",,,"Block Group 1, Census Tract 98.04, District of Columbia, District of Columbia",767,696,71,178,125,44,32,12,0,81,53,"Block Group 1, Census Tract 98.04, District of Columbia, District of Columbia",69,73,42,45,47,30,28,13,12,42,32
"G11000100098042","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009804","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098042",,,"Block Group 2, Census Tract 98.04, District of Columbia, District of Columbia",355,323,32,139,111,5,0,5,0,106,28,"Block Group 2, Census Tract 98.04, District of Columbia, District of Columbia",63,67,29,48,45,9,12,9,12,41,21
"G11000100098071","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009807","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098071",,,"Block Group 1, Census Tract 98.07, District of Columbia, District of Columbia",386,363,23,226,135,38,0,38,9,88,91,"Block Group 1, Census Tract 98.07, District of Columbia, District of Columbia",99,103,36,65,59,34,12,34,14,55,39
"G11000100098072","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009807","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098072",,,"Block Group 2, Census Tract 98.07, District of Columbia, District of Columbia",1241,1004,237,282,141,15,6,9,0,126,141,"Block Group 2, Census Tract 98.07, District of Columbia, District of Columbia",106,113,100,83,63,18,11,14,12,59,70
"G11000100098101","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009810","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098101",,,"Block Group 1, Census Tract 98.10, District of Columbia, District of Columbia",679,668,11,53,19,8,8,0,0,11,34,"Block Group 1, Census Tract 98.10, District of Columbia, District of Columbia",131,130,19,57,22,16,16,12,12,17,52
"G11000100098102","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009810","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098102",,,"Block Group 2, Census Tract 98.10, District of Columbia, District of Columbia",595,595,0,47,47,0,0,0,0,47,0,"Block Group 2, Census Tract 98.10, District of Columbia, District of Columbia",135,135,12,56,56,12,12,12,12,56,12
"G11000100098111","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009811","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098111",,,"Block Group 1, Census Tract 98.11, District of Columbia, District of Columbia",923,788,135,50,50,12,12,0,0,38,0,"Block Group 1, Census Tract 98.11, District of Columbia, District of Columbia",155,163,77,43,43,21,21,12,12,40,12
"G11000100098112","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009811","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010098112",,,"Block Group 2, Census Tract 98.11, District of Columbia, District of Columbia",1176,1038,138,198,102,18,18,0,0,84,96,"Block Group 2, Census Tract 98.11, District of Columbia, District of Columbia",149,147,76,70,51,18,18,12,12,44,60
"G11000100099011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009901","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010099011",,,"Block Group 1, Census Tract 99.01, District of Columbia, District of Columbia",337,316,21,265,169,0,0,0,0,169,96,"Block Group 1, Census Tract 99.01, District of Columbia, District of Columbia",77,74,33,58,60,12,12,12,12,60,48
"G11000100099012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009901","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010099012",,,"Block Group 2, Census Tract 99.01, District of Columbia, District of Columbia",730,653,77,555,426,36,19,17,0,390,129,"Block Group 2, Census Tract 99.01, District of Columbia, District of Columbia",70,82,58,83,82,30,24,19,12,80,52
"G11000100099021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009902","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010099021",,,"Block Group 1, Census Tract 99.02, District of Columbia, District of Columbia",377,351,26,262,203,30,0,30,0,173,59,"Block Group 1, Census Tract 99.02, District of Columbia, District of Columbia",100,98,41,78,76,44,12,44,12,72,33
"G11000100099022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009902","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010099022",,,"Block Group 2, Census Tract 99.02, District of Columbia, District of Columbia",925,772,153,629,409,72,11,61,0,337,220,"Block Group 2, Census Tract 99.02, District of Columbia, District of Columbia",113,117,89,128,133,54,17,52,12,124,82
"G11000100099031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"009903","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010099031",,,"Block Group 1, Census Tract 99.03, District of Columbia, District of Columbia",383,317,66,173,163,21,21,0,0,142,10,"Block Group 1, Census Tract 99.03, District of Columbia, District of Columbia",59,64,46,60,57,25,25,12,12,47,15
