GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASVKE001,ASVKE002,ASVKE003,ASVKE004,ASVKE005,ASVKE006,ASVKE007,ASVKE008,ASVKE009,ASVKE010,ASVKE011,ASVKE012,ASVKE013,ASVKE014,ASVKE015,ASVKE016,ASVKE017,ASVKE018,ASVKE019,ASVKE020,ASVKE021,ASVKE022,ASVKE023,ASVKE024,ASVKE025,ASVKE026,ASVKE027,ASVKE028,ASVKE029,ASVKE030,ASVKE031,ASVKE032,ASVKE033,ASVKE034,ASVKE035,ASVKE036,ASVKE037,ASVKE038,ASVKE039,ASVKE040,ASVKE041,ASVKE042,ASVKE043,ASVKE044,ASVKE045,ASVKE046,ASVKE047,ASVKE048,ASVKE049,ASVKE050,ASVKE051,ASVKE052,ASVKE053,ASVKE054,ASVKE055,ASVKE056,ASVKE057,ASVKE058,ASVKE059,ASVKE060,ASVKE061,ASVKE062,ASVKE063,ASVKE064,NAME_M,ASVKM001,ASVKM002,ASVKM003,ASVKM004,ASVKM005,ASVKM006,ASVKM007,ASVKM008,ASVKM009,ASVKM010,ASVKM011,ASVKM012,ASVKM013,ASVKM014,ASVKM015,ASVKM016,ASVKM017,ASVKM018,ASVKM019,ASVKM020,ASVKM021,ASVKM022,ASVKM023,ASVKM024,ASVKM025,ASVKM026,ASVKM027,ASVKM028,ASVKM029,ASVKM030,ASVKM031,ASVKM032,ASVKM033,ASVKM034,ASVKM035,ASVKM036,ASVKM037,ASVKM038,ASVKM039,ASVKM040,ASVKM041,ASVKM042,ASVKM043,ASVKM044,ASVKM045,ASVKM046,ASVKM047,ASVKM048,ASVKM049,ASVKM050,ASVKM051,ASVKM052,ASVKM053,ASVKM054,ASVKM055,ASVKM056,ASVKM057,ASVKM058,ASVKM059,ASVKM060,ASVKM061,ASVKM062,ASVKM063,ASVKM064
"G11000100095042","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009504","2",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095042",,,"110010095042","Block Group 2, Census Tract 95.04, District of Columbia, District of Columbia",142,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,104,0,38,0,34,0,0,32,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 95.04, District of Columbia, District of Columbia",88,14,14,14,14,14,14,14,14,14,45,14,14,14,14,14,14,45,14,14,14,14,14,14,14,14,14,14,72,14,58,14,52,14,14,47,14,16,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"G11000100095051","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009505","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095051",,,"110010095051","Block Group 1, Census Tract 95.05, District of Columbia, District of Columbia",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,"Block Group 1, Census Tract 95.05, District of Columbia, District of Columbia",46,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,14,14,14,14,14,14,14,24,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,40,40,14,14,14,14,14,14,14
"G11000100095052","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009505","2",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095052",,,"110010095052","Block Group 2, Census Tract 95.05, District of Columbia, District of Columbia",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,"Block Group 2, Census Tract 95.05, District of Columbia, District of Columbia",47,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,28,14,14,14,28,14,14,14,14,14,14,14,14,14,14,14,14,14,38,38,14,14,14,14,14,14,14
"G11000100095053","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009505","3",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095053",,,"110010095053","Block Group 3, Census Tract 95.05, District of Columbia, District of Columbia",688,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,49,0,65,49,0,0,0,0,0,16,0,220,0,0,0,0,0,220,0,0,52,8,0,0,0,25,19,0,0,91,0,91,0,0,0,0,0,0,211,108,68,35,0,0,0,0,0,"Block Group 3, Census Tract 95.05, District of Columbia, District of Columbia",385,14,14,14,14,14,14,14,14,14,66,14,14,14,14,14,14,66,14,85,80,14,14,14,14,14,25,14,333,14,14,14,14,14,333,14,14,50,13,14,14,14,48,31,14,14,87,14,87,14,14,14,14,14,14,111,87,66,44,14,14,14,14,14
"G11000100095071","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009507","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095071",,,"110010095071","Block Group 1, Census Tract 95.07, District of Columbia, District of Columbia",53,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,16,0,0,0,"Block Group 1, Census Tract 95.07, District of Columbia, District of Columbia",41,14,14,14,14,14,14,14,14,14,20,14,14,14,14,14,14,20,14,14,14,14,14,14,14,14,14,14,6,14,14,14,14,14,14,14,6,27,14,14,27,14,14,14,14,14,14,14,14,14,14,14,14,14,14,27,14,14,7,14,27,14,14,14
"G11000100095081","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009508","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095081",,,"110010095081","Block Group 1, Census Tract 95.08, District of Columbia, District of Columbia",213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,30,2,13,0,0,0,13,0,0,0,0,1,0,0,0,0,0,1,0,0,115,0,0,0,0,115,0,0,0,52,0,52,0,0,0,0,0,0,"Block Group 1, Census Tract 95.08, District of Columbia, District of Columbia",211,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,44,14,14,14,14,14,14,43,3,20,14,14,14,20,14,14,14,14,3,14,14,14,14,14,3,14,14,184,14,14,14,14,184,14,14,14,71,14,71,14,14,14,14,14,14
"G11000100095082","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009508","2",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095082",,,"110010095082","Block Group 2, Census Tract 95.08, District of Columbia, District of Columbia",595,43,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,0,0,70,0,42,0,0,0,13,15,0,31,0,0,17,0,14,0,0,0,101,0,1,0,38,0,62,0,0,88,0,37,47,1,3,0,0,0,262,109,20,107,0,26,0,0,0,"Block Group 2, Census Tract 95.08, District of Columbia, District of Columbia",154,50,14,14,14,14,14,14,26,43,14,14,14,14,14,14,14,14,14,69,14,64,14,14,14,20,23,14,32,14,14,23,14,22,14,14,14,69,14,2,14,34,14,59,14,14,72,14,56,51,2,5,14,14,14,170,74,31,158,14,41,14,14,14
"G11000100095083","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009508","3",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095083",,,"110010095083","Block Group 3, Census Tract 95.08, District of Columbia, District of Columbia",248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,96,1,0,0,0,0,80,1,78,0,0,1,0,0,0,"Block Group 3, Census Tract 95.08, District of Columbia, District of Columbia",151,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,109,14,109,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,121,14,14,121,2,14,14,14,14,94,2,94,14,14,2,14,14,14
"G11000100095084","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009508","4",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095084",,,"110010095084","Block Group 4, Census Tract 95.08, District of Columbia, District of Columbia",291,65,0,0,0,0,0,0,0,65,14,0,0,0,0,0,0,14,0,70,41,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,19,0,11,0,0,112,90,22,0,0,0,0,0,0,"Block Group 4, Census Tract 95.08, District of Columbia, District of Columbia",152,106,14,14,14,14,14,14,14,106,22,14,14,14,14,14,14,22,14,60,65,14,32,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,35,14,14,14,31,14,17,14,14,108,104,37,14,14,14,14,14,14
"G11000100095091","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"009509","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010095091",,,"110010095091","Block Group 1, Census Tract 95.09, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 95.09, District of Columbia, District of Columbia",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
